Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Inkilänmäki	2h,tk	kt	5700	45000	789	1973	3/5	on	tyyd.	E2007
Inkilänmäki	2h, tupak + sauna	kt	5750	55000	957	1973	4/6	on	hyvä	E
Pihlajalaakso	2h + kt + s + l...	kt	4800	150000	3125	2017	2/5	ei	hyvä	C
Inkilänmäki	2h, kk	kt	4700	28500	606	1974	2/5	on	huono	C2007
Pihlajalaakso	2h,kt,s	kt	5050	158000	3129	2014	1/4	on	hyvä	C
Inkilänmäki	2h,k	kt	5450	36000	661	1974	3/5	on	tyyd.	F2013
Pihlajalaakso	2h, k, s	kt	5500	165000	3000	2015	1/2	ei	hyvä	B2013
Inkilänmäki	2h,k	kt	5600	58000	1036	1973	3/7	on	hyvä	D2007
Inkilänmäki	2h, k	kt	6400	69000	1078	1972	3/3	ei	hyvä	
Inkilänmäki	2h, tupakeitti&...	kt	5700	52500	921	1973	5/5	on	tyyd.	E
Inkilänmäki	3h,k	kt	7000	156000	2229	1971	5/5	on		F2013
Pihlajalaakso	3h, k, s	kt	6200	175000	2823	2014	2/2	ei	hyvä	C
Pihlajalaakso	3h, k, s	kt	6250	191000	3056	2012	5/5	on	hyvä	C
Rahusenkangas	3h,k,s,khh,wc	rt	8100	184000	2272	2003	1/1	ei	hyvä	C2007
Inkilänmäki	3h,k	kt	7400	55000	743	1974	2/5	on	hyvä	F
Rahusenkangas	4h,k,kph,2 x wc	ok	8850	198000	2237	1949	-1/3	ei	hyvä	
Inkilänmäki	4h,k	kt	9400	88000	936	1972	3/3	on		D2007
Rahusenkangas	4h,k,s	rt	9700	217500	2242	2006	1/2	ei	hyvä	C2013
Pihlajalaakso	4h, k, s	kt	8900	220000	2472	2014	1/2	ei	hyvä	C
Rahusenkangas	4h,k,s,at	ok	12600	205000	1627	1986	-1/1	ei	hyvä	E
Rahusenkangas	4h, k, rt, s/kh...	ok	16600	100000	602	1977		ei	tyyd.	E2018
Inkilänmäki	5h,k, iso askar...	rt	11600	130000	1121	1964	1/2	ei	tyyd.	D
Rahusenkangas	4h,k,s	rt	9450	169000	1788	1989	1/1	ei	hyvä	B
