posti_alue,pinta_ala,forest_number,forest_average,forest_sum
"00100",2353278.46948242,5867,7.41827168910857,43523
"00120",414009.56274414,1041,4.40345821325648,4584
"00130",428960.33251953,1071,6.94771241830065,7441
"00140",931840.95532227,1815,10.929476584022,19837
"00150",1367327.61401367,3359,4.05924382256624,13635
"00160",541135.67016602,1355,3.5380073800738,4794
"00170",713343.26635742,1785,4.80952380952381,8585
"00180",1735293.33691406,4347,2.85576259489303,12414
"00190",765012.32421875,1878,6.43982960596379,12094
"00200",2619434.18066406,6370,24.4383045525903,155672
"00210",1478220.78295898,3700,22.917027027027,84793
"00220",684781.26879883,1706,0.0164126611957796,28
"00230",171851.1328125,430,10.3581395348837,4454
"00240",2352593.42431641,5885,16.792523364486,98824
"00250",3060833.85742188,7470,25.4489959839357,190104
"00260",751804.7734375,1793,13.7440044617959,24643
"00270",864732.14672852,2170,24.7834101382488,53780
"00280",787424.60595703,1969,32.3209751142712,63640
"00290",268739.1105957,670,4.54029850746269,3042
"00300",851105.44433594,2129,12.0126820103335,25575
"00310",657213.02246094,1643,40.7620206938527,66972
"00320",1942279.82470703,4853,31.436018957346,152559
"00330",1726679.88696289,4301,28.3794466403162,122060
"00340",1008213.66821289,2173,46.3575701794754,100735
"00350",2148284.12231445,5379,30.4019334448782,163532
"00360",539397.65087891,1350,24.8614814814815,33563
"00370",3188973.50585938,7969,34.6424896473836,276066
"00380",1324069.35839844,3317,10.7398251432017,35624
"00390",3232854.32910156,8081,32.1213958668482,259573
"00400",1764451.60864258,4416,35.7615489130435,157923
"00410",1941784.16088867,4860,30.6098765432099,148764
"00420",2937877.76000977,7345,32.2770592239619,237075
"00430",4772713.53588867,11939,51.7235949409498,617528
"00440",950305.29345703,2377,30.0222970130416,71363
"00500",584540.15722656,1460,7.84931506849315,11460
"00510",1066746.95385742,2668,5.47263868065967,14601
"00520",1302377.06323242,3251,8.3503537373116,27147
"00530",1588139.53442383,3931,7.02289493767489,27607
"00540",683207.42944336,1709,0.409596255119953,700
"00550",962816.7097168,2406,13.3034081463009,32008
"00560",3884319.31054688,9719,21.8522481736804,212382
"00570",1796540.4284668,4485,25.2622073578595,113301
"00580",1292602.45849609,3233,3.29600989792762,10656
"00590",1821381.21264648,4541,31.536665932614,143208
"00600",949209.48266602,2373,37.0615254951538,87947
"00610",2173242.35961914,5439,28.6920389777533,156056
"00620",2244048.52490234,5610,39.5725490196078,222002
"00630",2513373.6784668,6285,41.9194908512331,263464
"00640",2259872.85107422,5654,36.5451008135833,206626
"00650",1631932.18286133,4082,38.4933855952964,157130
"00660",2559655.13720703,6407,40.223661620103,257713
"00670",3040959.44750977,7603,51.4941470472182,391510
"00680",2257774.68017578,5642,36.1907125132932,204188
