Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Päiväranta	2 h,k, vh, lasi...	kt	5650	55000	973	1971	1/3	ei	hyvä	F2013
Päiväranta	2h, k, s	rt	5400	80000	1481	1985	1/2	ei	hyvä	C2007
Päiväranta	2h,k,s	kt	5600	90000	1607	1982	2/2	ei	hyvä	D2007
Päiväranta	2h,kt,kph,s,vh,p	kt	4350	139000	3195	2019	3/8	on	hyvä	C
Päiväranta	2h, kk, parveke	kt	3950	31000	785	1971	2/3	ei	tyyd.	D2018
Päiväranta	2h,kt,kph,s,vh,p	kt	4350	135000	3103	2019	2/8	on	hyvä	C
Päiväranta	2h, k, parv	kt	5700	96000	1684	1968	6/7	on	hyvä	
Päiväranta	2h,kt,kph,p	kt	4300	148000	3442	2019	6/8	on	hyvä	C
Päiväranta	2h,kk,ph,parv.	kt	4700	58000	1234	1974	4/4	ei	hyvä	D2007
Päiväranta	2 h, kk, kh, la...	kt	6200	61000	984	1970	2/3	ei	hyvä	G
Päiväranta	2h,k	kt	6000	59000	983	1971	1/3	ei	hyvä	D2013
Päiväranta	2h,k	kt	6000	50000	833	1971	2/3	ei	hyvä	D2007
Päiväranta	3h,k, parveke	kt	8000	51000	638	1970	2/3	ei	tyyd.	D2007
Päiväranta	3h,k,s (yj:n mu...	rt	8850	210000	2373	2008	-1/2	ei	hyvä	
Päiväranta	3h,k,s	rt	8000	124000	1550	1980	1/2	ei	hyvä	F2013
Päiväranta	3h,k,kph,s,wc,v...	rt	7950	144000	1811	1979	2/2	ei	hyvä	E2013
Päiväranta	3h,kt,kph,s,p	kt	5750	179500	3122	2019	6/8	on	hyvä	C
Päiväranta	3h,kt,kph,s,p	kt	5200	154000	2962	2019	3/8	on	hyvä	C
Päiväranta	3h,k	kt	7800	88000	1128	1968	3/3	ei	hyvä	
Päiväranta	5 h, k, kh, s, ...	ok	9900	145000	1465	1967	1/1	ei	tyyd.	E2013
Päiväranta	4-5h, k, s	rt	14700	190000	1293	1970	1/1	ei	hyvä	
Päiväranta	5h,k,khh,kph,s	ok	13200	260000	1970	1973	-1/1	ei	hyvä	
Päiväranta	4h, k, pkh, s	ok	11000	122000	1109	1950	-1/2	ei	tyyd.	
Päiväranta	5h, k, s	ok	14550	235000	1615	1982	-1/1	ei	hyvä	F
Päiväranta	5h,k,s	rt	10900	285000	2615	2017	1/2	ei	hyvä	
