Municipality	Tax
Akaa	22.25
Alajärvi	21.75
Alavieska	22.00
Alavus	21.25
Asikkala	20.75
Askola	21.50
Aura	21.75
Brändö	16.75
Eckerö	18.50
Enonkoski	21.00
Enontekiö	21.25
Espoo	18.00
Eura	20.50
Eurajoki	18.00
Evijärvi	21.50
Finström	18.50
Forssa	20.50
Föglö	17.50
Geta	18.50
Haapajärvi	22.50
Haapavesi	22.00
Hailuoto	20.50
Halsua	22.00
Hamina	21.00
Hammarland	17.25
Hankasalmi	22.00
Hanko	21.75
Harjavalta	21.50
Hartola	21.50
Hattula	20.50
Hausjärvi	21.50
Heinola	20.50
Heinävesi	21.00
Helsinki	18.00
Hirvensalmi	20.00
Hollola	21.00
Honkajoki	22.50
Huittinen	21.00
Humppila	22.00
Hyrynsalmi	21.75
Hyvinkää	19.75
Hämeenkyrö	22.00
Hämeenlinna	20.75
Ii	21.25
Iisalmi	20.50
Iitti	20.75
Ikaalinen	21.75
Ilmajoki	20.75
Ilomantsi	21.00
Imatra	20.00
Inari	19.00
Inkoo	20.75
Isojoki	22.00
Isokyrö	21.50
Janakkala	21.00
Joensuu	20.50
Jokioinen	21.25
Jomala	16.50
Joroinen	21.25
Joutsa	21.00
Juuka	20.75
Juupajoki	21.00
Juva	20.75
Jyväskylä	20.00
Jämijärvi	22.50
Jämsä	21.00
Järvenpää	19.75
Kaarina	19.75
Kaavi	22.00
Kajaani	21.00
Kalajoki	21.00
Kangasala	21.00
Kangasniemi	20.75
Kankaanpää	21.50
Kannonkoski	21.00
Kannus	21.50
Karijoki	22.00
Karkkila	20.75
Karstula	21.50
Karvia	20.50
Kaskinen	22.00
Kauhajoki	22.00
Kauhava	21.75
Kauniainen	17.00
Kaustinen	21.50
Keitele	20.50
Kemi	21.75
Kemijärvi	21.50
Keminmaa	21.25
Kemiönsaari	19.75
Kempele	20.50
Kerava	19.25
Keuruu	21.50
Kihniö	21.50
Kinnula	21.00
Kirkkonummi	19.75
Kitee	21.00
Kittilä	20.25
Kiuruvesi	20.75
Kivijärvi	21.50
Kokemäki	21.75
Kokkola	21.75
Kolari	20.00
Konnevesi	22.00
Kontiolahti	20.50
Korsnäs	21.50
Koski Tl	19.50
Kotka	21.50
Kouvola	20.75
Kristiinankaupunki	21.50
Kruunupyy	22.00
Kuhmo	21.50
Kuhmoinen	20.75
Kumlinge	18.50
Kuopio	20.50
Kuortane	21.00
Kurikka	21.00
Kustavi	18.50
Kuusamo	20.00
Kyyjärvi	21.75
Kärkölä	22.00
Kärsämäki	21.50
Kökar	19.75
Lahti	20.75
Laihia	21.75
Laitila	20.75
Lapinjärvi	20.50
Lapinlahti	21.25
Lappajärvi	21.50
Lappeenranta	21.00
Lapua	21.50
Laukaa	21.50
Lemi	21.00
Lemland	16.75
Lempäälä	20.50
Leppävirta	21.00
Lestijärvi	21.00
Lieksa	21.00
Lieto	19.50
Liminka	21.50
Liperi	21.50
Lohja	20.50
Loimaa	21.00
Loppi	21.50
Loviisa	19.75
Luhanka	18.50
Lumijoki	21.00
Lumparland	19.50
Luoto	19.50
Luumäki	20.50
Maalahti	21.50
Maarianhamina	17.25
Marttila	20.75
Masku	20.75
Merijärvi	22.00
Merikarvia	20.50
Miehikkälä	20.50
Mikkeli	20.50
Muhos	21.50
Multia	22.00
Muonio	21.50
Mustasaari	20.75
Muurame	19.50
Mynämäki	21.00
Myrskylä	21.50
Mäntsälä	20.50
Mänttä-Vilppula	22.00
Mäntyharju	19.75
Naantali	19.00
Nakkila	21.25
Nivala	22.00
Nokia	20.50
Nousiainen	21.50
Nurmes	20.50
Nurmijärvi	19.50
Närpiö	21.00
Orimattila	20.75
Oripää	21.00
Orivesi	22.00
Oulainen	22.00
Oulu	20.00
Outokumpu	21.75
Padasjoki	21.00
Paimio	20.75
Paltamo	22.00
Parainen	19.75
Parikkala	19.50
Parkano	22.00
Pedersören kunta	20.50
Pelkosenniemi	22.25
Pello	21.25
Perho	21.50
Pertunmaa	21.50
