name,descriptio,posti_alue,namn,kunta,kuntanro,vuosi,pinta_ala,NEIGHBORS,x,NEIGHBOR_1,SUM,NEIGHBOR_2,SUM_1
Hietasaari,"<div class=""googft-info-window"">
<b>posti_alue:</b> 90510<br>
<b>nimi:</b> Hietasaari<br>
<b>namn:</b> Hietasaari<br>
<b>kunta:</b> 564<br>
<b>kuntanro:</b> 564<br>
<b>vuosi:</b> 2016<br>
<b>pinta_ala:</b> 4157052.01
</div>","90510",Hietasaari,"564","564","2016","4157052.01","90500",,,"90500",,
Taskila-Toppila,"<div class=""googft-info-window"">
<b>posti_alue:</b> 90520<br>
<b>nimi:</b> Taskila-Toppila<br>
<b>namn:</b> Taskila-Toppila<br>
<b>kunta:</b> 564<br>
<b>kuntanro:</b> 564<br>
<b>vuosi:</b> 2016<br>
<b>pinta_ala:</b> 3718174.45
</div>","90520",Taskila-Toppila,"564","564","2016","3718174.45","90580,90590,90560,90530,90500",,,"452760",,
V盲livainio,"<div class=""googft-info-window"">
<b>posti_alue:</b> 90530<br>
<b>nimi:</b> V盲livainio<br>
<b>namn:</b> V盲livainio<br>
<b>kunta:</b> 564<br>
<b>kuntanro:</b> 564<br>
<b>vuosi:</b> 2016<br>
<b>pinta_ala:</b> 2283164.75
</div>","90530",V盲livainio,"564","564","2016","2283164.75","90520,90560,90550,90570,90620,90500",,,"543320",,
Kuivasj盲rvi,"<div class=""googft-info-window"">
<b>posti_alue:</b> 90540<br>
<b>nimi:</b> Kuivasj盲rvi<br>
<b>namn:</b> Kuivasj盲rvi<br>
<b>kunta:</b> 564<br>
<b>kuntanro:</b> 564<br>
<b>vuosi:</b> 2016<br>
<b>pinta_ala:</b> 27731601.04
</div>","90540",Kuivasj盲rvi,"564","564","2016","27731601.04","90580,90820,90800,90590,90570,90620,90910,90940",,,"725830",,
Pyykk枚sj盲rvi-Puoliv盲likangas,"<div class=""googft-info-window"">
<b>posti_alue:</b> 90550<br>
<b>nimi:</b> Pyykk枚sj盲rvi-Puoliv盲likangas<br>
<b>namn:</b> Pyykk枚sj盲rvi-Puoliv盲likangas<br>
<b>kunta:</b> 564<br>
<b>kuntanro:</b> 564<br>
<b>vuosi:</b> 2016<br>
<b>pinta_ala:</b> 227843","90550",Pyykk枚sj盲rvi-Puoliv盲likangas,"564","564","2016","2278435.14","90530,90570,90620",,,"271720",,
Koskela-Oulu,"<div class=""googft-info-window"">
<b>posti_alue:</b> 90560<br>
<b>nimi:</b> Koskela-Oulu<br>
<b>namn:</b> Koskela-Ule氓borg<br>
<b>kunta:</b> 564<br>
<b>kuntanro:</b> 564<br>
<b>vuosi:</b> 2016<br>
<b>pinta_ala:</b> 1579501.07
</div>","90560",Koskela-Ule氓borg,"564","564","2016","1579501.07","90520,90590,90530,90570",,,"362210",,
Kaijonharju-Linnanmaa,"<div class=""googft-info-window"">
<b>posti_alue:</b> 90570<br>
<b>nimi:</b> Kaijonharju-Linnanmaa<br>
<b>namn:</b> Kaijonharju-Linnanmaa<br>
<b>kunta:</b> 564<br>
<b>kuntanro:</b> 564<br>
<b>vuosi:</b> 2016<br>
<b>pinta_ala:</b> 5600379.45
</div>","90570",Kaijonharju-Linnanmaa,"564","564","2016","5600379.45","90590,90560,90530,90550,90540,90620",,,"543390",,
Rajakyl盲,"<div class=""googft-info-window"">
<b>posti_alue:</b> 90580<br>
<b>nimi:</b> Rajakyl盲<br>
<b>namn:</b> Rajakyl盲<br>
<b>kunta:</b> 564<br>
<b>kuntanro:</b> 564<br>
<b>vuosi:</b> 2016<br>
<b>pinta_ala:</b> 3441479.47
</div>","90580",Rajakyl盲,"564","564","2016","3441479.47","90800,90520,90590,90540",,,"362450",,
Teknologiakyl盲,"<div class=""googft-info-window"">
<b>posti_alue:</b> 90590<br>
<b>nimi:</b> Teknologiakyl盲<br>
<b>namn:</b> Teknologiakyl盲<br>
<b>kunta:</b> 564<br>
<b>kuntanro:</b> 564<br>
<b>vuosi:</b> 2016<br>
<b>pinta_ala:</b> 1016400.51
</div>","90590",Teknologiakyl盲,"564","564","2016","1016400.51","90580,90520,90560,90570,90540",,,"452770",,
Rusko-Heikinharju,"<div class=""googft-info-window"">
<b>posti_alue:</b> 90620<br>
<b>nimi:</b> Rusko-Heikinharju<br>
<b>namn:</b> Rusko-Heikinharju<br>
<b>kunta:</b> 564<br>
<b>kuntanro:</b> 564<br>
<b>vuosi:</b> 2016<br>
<b>pinta_ala:</b> 15669579.6
</div>","90620",Rusko-Heikinharju,"564","564","2016","15669579.6","90530,90550,90570,90540,90650,90630,90500,90940",,,"724910",,
Korvensuora,"<div class=""googft-info-window"">
<b>posti_alue:</b> 90630<br>
<b>nimi:</b> Korvensuora<br>
<b>namn:</b> Korvensuora<br>
<b>kunta:</b> 564<br>
<b>kuntanro:</b> 564<br>
<b>vuosi:</b> 2016<br>
<b>pinta_ala:</b> 28724525.48
</div>","90630",Korvensuora,"564","564","2016","28724525.48","90650,90620,90670,90660,90900,90940",,,"544440",,
