Postal code	2005Q1	2005Q2	2005Q3	2005Q4	2006Q1	2006Q2	2006Q3	2006Q4	2007Q1	2007Q2	2007Q3	2007Q4	2008Q1	2008Q2	2008Q3	2008Q4	2009Q1	2009Q2	2009Q3	2009Q4	2010Q1	2010Q2	2010Q3	2010Q4	2011Q1	2011Q2	2011Q3	2011Q4	2012Q1	2012Q2	2012Q3	2012Q4	2013Q1	2013Q2	2013Q3	2013Q4	2014Q1	2014Q2	2014Q3	2014Q4	2015Q1	2015Q2	2015Q3	2015Q4	2016Q1	2016Q2	2016Q3	2016Q4	2017Q1	2017Q2	2017Q3	2017Q4
00100	3407.0	3626.0	3576.0	3872.0	3881.0	3992.0	4049.0	4209.0	4227.0	4305.0	4462.0	4430.0	4465.0	4599.0	4280.0	4323.0	4295.0	4304.0	4471.0	4691.0	5122.0	5195.0	5175.0	5177.0	5557.0	5717.0	5489.0	5440.0	5748.0	5835.0	5869.0	5656.0	5864.0	5800.0	6274.0	6088.0	5881.0	6070.0	6281.0	6242.0	6073.0	6046.0	6247.0	6042.0	6235.0	6297.0	4882.0	6259.0	6407.0	6568.0	7025.0	6785.0
00120	3713.0	3848.0	4108.0	4173.0	4304.0	4323.0	4310.0	4435.0	4429.0	4898.0	4875.0	4831.0	4702.0	5054.0	5135.0	4586.0	4546.0	4931.0	5055.0	5268.0	5678.0	5548.0	5574.0	5492.0	5704.0	5698.0	5638.0	5383.0	5851.0	5955.0	5975.0	5805.0	6246.0	6032.0	6508.0	6144.0	5963.0	6253.0	6234.0	5799.0	6348.0	6323.0	6898.0	6043.0	6268.0	6686.0	6622.0	7037.0	7004.0	7191.0	7057.0	7720.0
00130	3824.0	3912.0	4139.0	4815.0	4694.0	4232.0	4688.0	4810.0	5190.0	5133.0	5589.0	4671.0	5211.0	5442.0	5395.0	4736.0	4460.0	5001.0	5608.0	5791.0	5346.0	5391.0	5435.0	5983.0	6294.0	5763.0	5752.0	5673.0	6383.0	6413.0	6166.0	5972.0	6542.0	6161.0	6457.0	7005.0	6876.0	7297.0	7358.0	6102.0	6088.0	6305.0	6554.0	6367.0	7433.0	7246.0	7723.0	7876.0	6623.0	7252.0	8496.0	7396.0
00140	3980.0	4186.0	4358.0	4409.0	4664.0	4576.0	4634.0	4762.0	4942.0	5136.0	5173.0	5141.0	5270.0	5540.0	4900.0	4833.0	4801.0	4965.0	5205.0	5743.0	5814.0	6005.0	6192.0	5804.0	6251.0	6342.0	6389.0	6344.0	6479.0	5794.0	6300.0	6421.0	6581.0	6528.0	6740.0	6977.0	6706.0	6836.0	6886.0	6493.0	6700.0	6508.0	6877.0	6910.0	7038.0	6900.0	7217.0	7377.0	7744.0	7345.0	7606.0	7546.0
00150	3716.0	3746.0	4049.0	4110.0	4359.0	4215.0	4314.0	4443.0	4544.0	4746.0	4448.0	4651.0	4683.0	4719.0	4772.0	4398.0	4381.0	4642.0	4990.0	5237.0	5308.0	5417.0	5321.0	5349.0	5686.0	5819.0	5779.0	5712.0	5904.0	5591.0	6009.0	6018.0	6238.0	6272.0	6171.0	6532.0	6466.0	6723.0	6799.0	6438.0	6315.0	6638.0	6627.0	6542.0	6474.0	6715.0	6796.0	6759.0	6846.0	7234.0	7140.0	7621.0
00160	4013.0	3991.0	3888.0	4466.0	4434.0	4629.0	4431.0	4807.0	4768.0	4383.0	4860.0	4885.0	4986.0	5069.0	5475.0	5240.0	5618.0	5123.0	5292.0	5398.0	5553.0	5470.0	5447.0	5571.0	5691.0	6282.0	5904.0	5791.0	6535.0	6429.0	6196.0	6600.0	6294.0	6224.0	6668.0	6504.0	6335.0	6226.0	6018.0	5550.0	6542.0	6023.0	5758.0	6014.0	6106.0	5868.0	6206.0	5844.0	5844.0	5927.0	6091.0	6150.0
00170	3313.0	3591.0	3944.0	4089.0	4154.0	4236.0	4067.0	4533.0	4455.0	4432.0	4789.0	4752.0	4700.0	4749.0	4548.0	4324.0	4359.0	4362.0	4782.0	5118.0	5004.0	5335.0	5408.0	5493.0	5742.0	5793.0	5859.0	5600.0	5583.0	5999.0	5940.0	5895.0	6146.0	6300.0	6542.0	6245.0	6236.0	6158.0	5904.0	5867.0	6410.0	6365.0	6401.0	6429.0	6513.0	6495.0	6833.0	6532.0	6711.0	6972.0	7006.0	7129.0
00180	3559.0	3609.0	3800.0	3949.0	3921.0	3959.0	4172.0	4174.0	4289.0	4356.0	4553.0	4543.0	4519.0	4506.0	4488.0	4357.0	4321.0	4487.0	4630.0	5079.0	4872.0	5139.0	5319.0	5274.0	5487.0	5300.0	5610.0	5510.0	5470.0	5611.0	5782.0	5533.0	5526.0	5734.0	6292.0	5982.0	5957.0	6124.0	6378.0	5867.0	6124.0	6129.0	6377.0	6407.0	6353.0	6559.0	7001.0	6798.0	6920.0	7046.0	6911.0	6861.0
00190	3611.0	3777.0	3963.0	4102.0	4171.0	4205.0	4270.0	4412.0	4449.0	4579.0	4699.0	4671.0	4688.0	4830.0	4708.0	4495.0	4460.0	4626.0	4867.0	5168.0	5283.0	5391.0	5435.0	5396.0	5723.0	5763.0	5752.0	5673.0	5878.0	5789.0	5981.0	5903.0	6206.0	6202.0	6459.0	6576.0	6503.0	6627.0	6658.0	6176.0	6367.0	6323.0	6364.0	6500.0	7017.0	6770.0	6965.0	7038.0	6556.0	6902.0	7724.0	6896.0
00200	2719.0	3034.0	3046.0	3275.0	3284.0	3355.0	3524.0	3595.0	3583.0	3742.0	3699.0	3595.0	3807.0	3942.0	3887.0	3597.0	3602.0	3676.0	3866.0	3882.0	4085.0	4188.0	4368.0	4345.0	4466.0	4630.0	4693.0	4559.0	4620.0	4646.0	4738.0	4781.0	4940.0	4851.0	5009.0	4924.0	4941.0	5059.0	4953.0	5037.0	5119.0	5015.0	5057.0	5127.0	5302.0	5296.0	5441.0	5231.0	5556.0	5599.0	5596.0	5600.0
