"Postal code area","Free-time residences, 2013 (RA)","Buildings, total, 2013 (RA)","Other buildings, 2013 (RA)","Residential buildings, 2013 (RA)","Dwellings, 2013 (RA)","Average floor area, 2013 (RA)","Dwellings in small houses, 2013 (RA)","Dwellings in blocks of flats, 2013 (RA)"
"Finland",498694,1483990,218443,1265547,2850551,80.3,1560336,1290215
"00100 Helsinki Keskusta  (Helsinki)",0,623,319,304,11395,66.2,2,11393
"00120 Punavuori  (Helsinki)",0,248,103,145,4247,69.3,8,4239
"00130 Kaartinkaupunki  (Helsinki)",0,142,109,33,846,76.2,0,846
"00140 Kaivopuisto  (Helsinki)",0,242,74,168,5269,73.9,15,5254
"00150 Eira  (Helsinki)",2,373,109,264,6695,55.3,32,6663
"00160 Katajanokka  (Helsinki)",0,138,61,77,2617,77.0,3,2614
"00170 Kruununhaka  (Helsinki)",0,258,124,134,4493,68.1,9,4484
"00180 Ruoholahti  (Helsinki)",0,324,143,181,7947,59.0,66,7881
"00190 Suomenlinna  (Helsinki)",0,114,58,56,363,69.4,54,309
"00200 Lauttasaari  (Helsinki)",5,581,51,530,9080,60.1,489,8591
"00210 Vattuniemi  (Helsinki)",0,228,97,131,4072,70.7,41,4031
"00220 Jätkäsaari  (Helsinki)",0,31,19,12,973,54.1,0,973
"00230 Ilmala  (Helsinki)",0,1,1,0,0,0.0,0,0
"00240 Länsi-Pasila  (Helsinki)",0,198,85,113,2890,63.2,21,2869
"00250 Taka-Töölö  (Helsinki)",0,414,131,283,7598,54.0,59,7539
"00260 Keski-Töölö  (Helsinki)",0,135,43,92,3627,62.9,0,3627
"00270 Pohjois-Meilahti  (Helsinki)",0,194,27,167,4847,53.0,68,4779
"00280 Ruskeasuo  (Helsinki)",0,135,27,108,1661,54.7,36,1625
"00290 Meilahden sairaala-alue  (Helsinki)",0,32,27,5,113,66.1,0,113
"00300 Pikku Huopalahti  (Helsinki)",0,224,61,163,3104,61.7,61,3043
"00310 Kivihaka  (Helsinki)",0,35,11,24,604,50.9,13,591
"00320 Etelä-Haaga  (Helsinki)",0,394,56,338,6436,49.6,163,6273
"00330 Munkkiniemi  (Helsinki)",0,380,51,329,5161,70.8,226,4935
"00340 Kuusisaari-Lehtisaari  (Helsinki)",1,219,20,199,849,122.4,390,459
"00350 Munkkivuori-Niemenmäki  (Helsinki)",0,266,64,202,5649,55.0,141,5508
"00360 Pajamäki  (Helsinki)",3,37,7,30,1229,49.9,0,1229
"00370 Reimarla  (Helsinki)",0,769,141,628,3371,67.0,866,2505
"00380 Pitäjänmäen teollisuusalue  (Helsinki)",0,170,107,63,2409,59.6,13,2396
"00390 Konala  (Helsinki)",0,740,139,601,3470,63.2,854,2616
"00400 Pohjois-Haaga  (Helsinki)",0,220,29,191,5631,52.8,69,5562
"00410 Malminkartano  (Helsinki)",0,355,72,283,4084,64.2,341,3743
"00420 Kannelmäki  (Helsinki)",0,698,62,636,7906,59.5,885,7021
"00430 Maununneva  (Helsinki)",0,1207,57,1150,1978,91.4,1616,362
"00440 Lassila  (Helsinki)",0,203,43,160,2593,57.7,71,2522
"00500 Sörnäinen  (Helsinki)",0,227,62,165,9690,39.3,0,9690
"00510 Etu-Vallila  (Helsinki)",0,365,152,213,6468,39.8,64,6404
"00520 Itä-Pasila  (Helsinki)",0,204,83,121,4036,53.8,3,4033
"00530 Kallio  (Helsinki)",0,343,112,231,13566,45.3,5,13561
"00540 Kalasatama  (Helsinki)",0,50,36,14,700,58.4,1,699
"00550 Vallila  (Helsinki)",6,194,27,167,6317,45.2,14,6303
"00560 Toukola-Vanhakaupunki  (Helsinki)",3,631,133,498,6536,60.9,421,6115
"00570 Kulosaari  (Helsinki)",0,445,76,369,2066,89.3,562,1504
"00580 Verkkosaari  (Helsinki)",0,147,107,40,1066,65.9,15,1051
"00590 Kaitalahti  (Helsinki)",17,149,18,131,155,103.7,155,0
"00600 Koskela-Helsinki  (Helsinki)",0,287,36,251,1839,65.0,244,1595
"00610 Käpylä  (Helsinki)",2,482,71,411,4400,55.7,335,4065
"00620 Metsälä-Etelä-Oulunkylä  (Helsinki)",0,399,91,308,1498,79.6,513,985
"00630 Maunula-Suursuo  (Helsinki)",0,520,36,484,4701,59.1,593,4108
"00640 Oulunkylä-Patola  (Helsinki)",0,612,75,537,4402,67.1,852,3550
"00650 Veräjämäki  (Helsinki)",0,367,31,336,2050,76.4,556,1494
"00660 Länsi-Pakila  (Helsinki)",0,1400,67,1333,2735,98.0,2519,216
"00670 Paloheinä  (Helsinki)",1,1290,45,1245,2311,100.2,2293,18
"00680 Itä-Pakila  (Helsinki)",1,800,71,729,1505,99.2,1329,176
