"Postal code area","Aged 18 or over, total, 2016 (KO)","Basic level studies, 2016 (KO)","With education, total, 2016 (KO)","Matriculation examination, 2016 (KO)","Vocational diploma, 2016 (KO)","Academic degree - Lower level university degree, 2016 (KO)","Academic degree - Higher level university degree, 2016 (KO)"
"Finland",4431392,1144130,3287262,308318,1986099,500520,492325
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",15935,2051,13884,2697,2870,2787,5530
"00120 Punavuori   (Helsinki )",6116,837,5279,1070,1163,953,2093
"00130 Kaartinkaupunki   (Helsinki )",1322,162,1160,240,238,193,489
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",6866,861,6005,1186,1249,1103,2467
"00150 Eira - Hernesaari   (Helsinki )",8466,1177,7289,1454,1670,1451,2714
"00160 Katajanokka   (Helsinki )",3742,586,3156,526,796,584,1250
"00170 Kruununhaka   (Helsinki )",6403,750,5653,1032,1146,1106,2369
"00180 Kamppi - Ruoholahti   (Helsinki )",11694,2201,9493,1706,2763,1954,3070
"00190 Suomenlinna   (Helsinki )",551,87,464,68,169,69,158
"00200 Lauttasaari   (Helsinki )",12801,1749,11052,1828,2729,2301,4194
"00210 Vattuniemi   (Helsinki )",6641,864,5777,691,1569,1158,2359
"00220 Jätkäsaari   (Helsinki )",3133,360,2773,689,682,620,782
"00230 Ilmala   (Helsinki )",.,.,.,.,.,.,.
"00240 Länsi-Pasila   (Helsinki )",4449,905,3544,583,1324,739,898
"00250 Taka-Töölö   (Helsinki )",10083,1337,8746,1650,2140,1887,3069
"00260 Keski-Töölö   (Helsinki )",4925,790,4135,749,919,887,1580
"00270 Pohjois-Meilahti   (Helsinki )",6556,1010,5546,986,1563,1148,1849
"00280 Ruskeasuo   (Helsinki )",2579,374,2205,537,551,438,679
"00290 Meilahden sairaala-alue   (Helsinki )",146,23,123,6,46,24,47
"00300 Pikku Huopalahti   (Helsinki )",4625,1029,3596,548,1394,663,991
"00310 Kivihaka   (Helsinki )",762,136,626,97,226,159,144
"00320 Etelä-Haaga   (Helsinki )",8972,1401,7571,1277,2169,1794,2331
"00330 Munkkiniemi   (Helsinki )",7173,1022,6151,966,1576,1090,2519
