"Postal code area","Households, total, 2013 (TR)","Average income of households, 2013 (TR)","Median income of households, 2013 (TR)","Households belonging to the lowest income category, 2013 (TR)","Households belonging to the middle income category, 2013 (TR)","Households belonging to the highest income category, 2013 (TR)","Accumulated purchasing power of households, 2013 (TR)"
"Finland",2599613,38433,31071,655755,1472734,471124,99910189263
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",9800,51955,36535,1827,4021,3952,509162435
"00120 Punavuori   (Helsinki )",3838,56690,37851,658,1560,1620,217577501
"00130 Kaartinkaupunki   (Helsinki )",789,80907,41051,132,269,388,63835338
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",4363,76371,38830,765,1649,1949,333208447
"00150 Eira - Hernesaari   (Helsinki )",5671,52011,31754,1175,2498,1998,294952707
"00160 Katajanokka   (Helsinki )",2314,58849,40118,323,1051,940,136175734
"00170 Kruununhaka   (Helsinki )",3961,53183,38909,656,1636,1669,210657789
"00180 Kamppi - Ruoholahti   (Helsinki )",6984,59549,33673,1279,3473,2232,415890290
"00190 Suomenlinna   (Helsinki )",322,47053,41667,36,200,86,15151122
"00200 Lauttasaari   (Helsinki )",8349,47000,34128,1434,3957,2958,392403138
"00210 Vattuniemi   (Helsinki )",3759,59521,44385,410,1581,1768,223739683
"00220 Jätkäsaari   (Helsinki )",904,35054,28732,242,483,179,31688540
"00230 Ilmala   (Helsinki )",0,0,0,0,0,0,0
"00240 Länsi-Pasila   (Helsinki )",2774,38745,32330,515,1587,672,107479022
"00250 Taka-Töölö   (Helsinki )",6716,40599,30840,1295,3326,2095,272665749
"00260 Keski-Töölö   (Helsinki )",3067,49976,34417,566,1311,1190,153276268
"00270 Pohjois-Meilahti   (Helsinki )",4425,37947,29328,902,2391,1132,167916869
"00280 Ruskeasuo   (Helsinki )",1550,37861,29014,320,819,411,58685157
"00290 Meilahden sairaala-alue   (Helsinki )",104,51086,34537,9,54,41,5312894
"00300 Pikku Huopalahti   (Helsinki )",2918,39451,32647,503,1675,740,115118108
"00310 Kivihaka   (Helsinki )",556,34888,28291,107,323,126,19397739
"00320 Etelä-Haaga   (Helsinki )",5905,34933,27520,1341,3139,1425,206278266
"00330 Munkkiniemi   (Helsinki )",4620,54859,36194,719,2090,1811,253449702
