"Postal code area","Aged 18 or over, total, 2013 (HR)","Average income of inhabitants, 2013 (HR)","Median income of inhabitants, 2013 (HR)","Inhabintants belonging to the lowest income category, 2013 (HR)","Inhabitants belonging to the middle income category, 2013 (HR)","Inhabintants belonging to the highest income category, 2013 (HR)","Accumulated purchasing power of inhabitants, 2013 (HR)"
"Finland",4374590,23109,20294,875611,2624260,874719,101092129543
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",15529,32961,24988,3060,6580,5889,511850450
"00120 Punavuori   (Helsinki )",5995,36289,25619,1080,2538,2377,217551356
"00130 Kaartinkaupunki   (Helsinki )",1274,49974,28663,243,448,583,63666758
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",6689,49595,27159,1242,2597,2850,331741763
"00150 Eira - Hernesaari   (Helsinki )",8279,35819,24238,1583,3762,2934,296547023
"00160 Katajanokka   (Helsinki )",3759,36167,26036,616,1668,1475,135949902
"00170 Kruununhaka   (Helsinki )",6269,33551,26502,1144,2568,2557,210328649
"00180 Kamppi - Ruoholahti   (Helsinki )",10810,38485,24015,2059,5247,3504,416024461
"00190 Suomenlinna   (Helsinki )",590,25809,24267,106,306,178,15227156
"00200 Lauttasaari   (Helsinki )",12617,31131,25478,2069,5903,4645,392781608
"00210 Vattuniemi   (Helsinki )",5958,37500,28609,718,2577,2663,223422132
"00220 Jätkäsaari   (Helsinki )",1432,22084,19093,366,765,301,31624119
"00230 Ilmala   (Helsinki )",0,0,0,0,0,0,0
"00240 Länsi-Pasila   (Helsinki )",4505,23914,22013,797,2668,1040,107734141
"00250 Taka-Töölö   (Helsinki )",9850,27786,23977,1747,4895,3208,273694762
"00260 Keski-Töölö   (Helsinki )",4876,32390,24561,843,2271,1762,157935274
"00270 Pohjois-Meilahti   (Helsinki )",6449,25986,23021,1176,3396,1877,167584871
"00280 Ruskeasuo   (Helsinki )",2466,24794,21749,537,1248,681,61142068
"00290 Meilahden sairaala-alue   (Helsinki )",147,36141,26429,17,74,56,5312778
"00300 Pikku Huopalahti   (Helsinki )",4627,25379,23191,771,2578,1278,117430242
"00310 Kivihaka   (Helsinki )",779,24864,23107,117,458,204,19368802
"00320 Etelä-Haaga   (Helsinki )",8406,25138,22694,1474,4618,2314,211306764
"00330 Munkkiniemi   (Helsinki )",7079,36000,26037,1091,3202,2786,254840703
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1274,62354,31597,250,360,664,79439552
"00350 Munkkivuori-Niemenmäki   (Helsinki )",7714,25259,22691,1494,4073,2147,194847526
"00360 Pajamäki   (Helsinki )",1611,23407,22180,275,948,388,37708299
"00370 Reimarla   (Helsinki )",5131,24971,22670,887,2855,1389,128126108
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",3547,25522,23282,510,2049,988,90524773
"00390 Konala   (Helsinki )",5030,24965,23139,781,2882,1367,125572123
"00400 Pohjois-Haaga   (Helsinki )",8097,21772,20344,1617,4873,1607,176285925
"00410 Malminkartano   (Helsinki )",6915,20358,19544,1756,4038,1121,140776556
"00420 Kannelmäki   (Helsinki )",11612,21283,19907,2530,7078,2004,247143242
"00430 Maununneva   (Helsinki )",3650,30197,26879,619,1564,1467,110219580
"00440 Lassila   (Helsinki )",3922,23280,20692,715,2309,898,91304701
"00500 Sörnäinen   (Helsinki )",11815,21703,20045,2511,7077,2227,256422430
"00510 Etu-Vallila - Alppila   (Helsinki )",8191,24864,20075,1585,5077,1529,203657106
"00520 Itä-Pasila   (Helsinki )",5892,22288,20558,1231,3428,1233,131321227
"00530 Kallio   (Helsinki )",17530,23188,20836,3495,10125,3910,406477317
"00540 Kalasatama   (Helsinki )",1091,23953,21233,245,573,273,26132523
"00550 Vallila   (Helsinki )",8421,20610,18807,2057,4928,1436,173560560
"00560 Toukola-Vanhakaupunki   (Helsinki )",10036,25438,22925,2106,4951,2979,255291719
"00570 Kulosaari   (Helsinki )",3094,44250,26599,553,1241,1300,136909741
"00580 Verkkosaari   (Helsinki )",1819,26659,25155,255,987,577,48492574
"00590 Kaitalahti   (Helsinki )",280,41724,32062,48,79,153,11682583
"00600 Koskela-Helsinki   (Helsinki )",3472,21371,17644,818,2089,565,74201641
"00610 Käpylä   (Helsinki )",6547,24767,22640,995,3930,1622,162150087
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",2636,28866,23799,420,1381,835,76090024
"00630 Maunula-Suursuo   (Helsinki )",6649,22052,19661,1177,4245,1227,146622617
"00640 Oulunkylä-Patola   (Helsinki )",6550,25496,22636,1097,3655,1798,167001377
"00650 Veräjämäki   (Helsinki )",3354,27222,24156,548,1776,1030,91300935
"00660 Länsi-Pakila   (Helsinki )",5090,34672,28772,720,2039,2331,176480067
"00670 Paloheinä   (Helsinki )",4525,34369,30143,657,1655,2213,155518925
"00680 Itä-Pakila   (Helsinki )",2769,33118,28357,411,1132,1226,91704817
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",2022,28663,25810,305,981,736,57956215
"00700 Malmi   (Helsinki )",10771,22124,20932,1929,6877,1965,238296307
"00710 Pihlajamäki   (Helsinki )",10198,21298,20336,1842,6705,1651,217196356
"00720 Pukinmäki-Savela   (Helsinki )",7093,22108,20821,1347,4415,1331,156814369
"00730 Tapanila   (Helsinki )",8674,26324,24582,1350,4660,2664,228334788
"00740 Siltamäki   (Helsinki )",7967,23643,22178,1536,4583,1848,188360755
"00750 Puistola   (Helsinki )",7272,23383,22098,1398,4226,1648,170038271
"00760 Suurmetsä   (Helsinki )",5840,28163,25909,901,2902,2037,164474615
"00770 Jakomäki - Alppikylä   (Helsinki )",5186,18940,18078,1108,3605,473,98222707
"00780 Tapaninvainio   (Helsinki )",5715,27529,24403,830,3052,1833,157328975
"00790 Viikki   (Helsinki )",7746,22807,21890,1782,4101,1863,176659824
"00800 Länsi-Herttoniemi   (Helsinki )",6044,22859,20244,1191,3571,1282,138161117
"00810 Herttoniemi   (Helsinki )",9062,25367,23266,1378,5278,2406,229871374
"00820 Roihuvuori   (Helsinki )",6095,20702,19503,1230,3915,950,126178537
"00830 Tammisalo   (Helsinki )",1776,51952,29673,304,600,872,92267235
"00840 Laajasalo   (Helsinki )",6697,28338,24448,1014,3481,2202,189778910
"00850 Jollas   (Helsinki )",2295,39583,29112,355,871,1069,90842442
"00860 Santahamina   (Helsinki )",316,27782,27472,44,156,116,8779193
"00870 Etelä-Laajasalo   (Helsinki )",3853,23213,20380,735,2331,787,89440499
"00880 Roihupellon teollisuusalue   (Helsinki )",361,24243,23088,54,219,88,8751764
"00890 Itäsalmi   (Helsinki )",1402,48476,29995,251,469,682,67963956
"00900 Puotinharju   (Helsinki )",3495,20806,19104,751,2182,562,72715720
