"Postal code area","Inhabitants, 2013 (PT)","Labour force, 2013 (PT)","Employed, 2013 (PT)","Unemployed, 2013 (PT)","Persons outside the labour force, 2013 (PT)","Children aged 0 to 14, 2013 (PT)","Students, 2013 (PT)","Pensioners, 2013 (PT)","Others, 2013 (PT)"
"Finland",5451270,2630122,2301751,328371,2821148,895021,411149,1333415,181563
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",17402,10425,9764,661,6977,1655,1177,3262,883
"00120 Punavuori   (Helsinki )",6795,4138,3839,299,2657,702,406,1193,356
"00130 Kaartinkaupunki   (Helsinki )",1457,878,826,52,579,150,91,257,81
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",7707,4433,4191,242,3274,872,500,1437,465
"00150 Eira - Hernesaari   (Helsinki )",9277,5825,5423,402,3452,891,562,1476,523
"00160 Katajanokka   (Helsinki )",4469,2300,2159,141,2169,619,289,1043,218
"00170 Kruununhaka   (Helsinki )",7219,4309,4067,242,2910,819,509,1280,302
"00180 Kamppi - Ruoholahti   (Helsinki )",12495,7580,7003,577,4915,1392,906,1969,648
"00190 Suomenlinna   (Helsinki )",788,430,401,29,358,159,70,101,28
"00200 Lauttasaari   (Helsinki )",14814,8597,8036,561,6217,1941,917,2792,567
"00210 Vattuniemi   (Helsinki )",7119,3819,3604,215,3300,1050,298,1695,257
"00220 Jätkäsaari   (Helsinki )",1642,1081,1033,48,561,187,231,106,37
"00230 Ilmala   (Helsinki )",0,0,0,0,0,0,0,0,0
"00240 Länsi-Pasila   (Helsinki )",5175,2864,2607,257,2311,561,409,1147,194
"00250 Taka-Töölö   (Helsinki )",10931,6871,6446,425,4060,933,751,1938,438
"00260 Keski-Töölö   (Helsinki )",5387,2998,2803,195,2389,457,312,1341,279
"00270 Pohjois-Meilahti   (Helsinki )",7546,4522,4177,345,3024,927,569,1264,264
"00280 Ruskeasuo   (Helsinki )",2803,1600,1494,106,1203,290,311,527,75
"00290 Meilahden sairaala-alue   (Helsinki )",157,102,96,6,55,9,7,27,12
"00300 Pikku Huopalahti   (Helsinki )",5725,3024,2720,304,2701,922,433,1136,210
"00310 Kivihaka   (Helsinki )",887,548,501,47,339,92,45,167,35
"00320 Etelä-Haaga   (Helsinki )",9460,5691,5312,379,3769,929,698,1854,288
"00330 Munkkiniemi   (Helsinki )",8469,4139,3865,274,4330,1136,578,2289,327
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1663,762,729,33,901,288,170,337,106
"00350 Munkkivuori-Niemenmäki   (Helsinki )",9095,5051,4663,388,4044,1186,710,1808,340
"00360 Pajamäki   (Helsinki )",1820,1045,957,88,775,178,123,405,69
"00370 Reimarla   (Helsinki )",6348,3328,3041,287,3020,1042,469,1249,260
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",4333,2484,2237,247,1849,647,313,696,193
"00390 Konala   (Helsinki )",6099,3544,3216,328,2555,894,415,1027,219
"00400 Pohjois-Haaga   (Helsinki )",9273,4859,4390,469,4414,989,748,2194,483
"00410 Malminkartano   (Helsinki )",8495,4684,4151,533,3811,1301,991,1124,395
"00420 Kannelmäki   (Helsinki )",13732,7094,6277,817,6638,1747,1150,2982,759
"00430 Maununneva   (Helsinki )",4758,2494,2346,148,2264,903,444,775,142
"00440 Lassila   (Helsinki )",4494,2212,2008,204,2282,486,349,1283,164
"00500 Sörnäinen   (Helsinki )",12393,8774,7821,953,3619,505,980,1537,597
"00510 Etu-Vallila - Alppila   (Helsinki )",8737,5911,5285,626,2826,490,545,1403,388
"00520 Itä-Pasila   (Helsinki )",6707,3776,3351,425,2931,701,517,1292,421
"00530 Kallio   (Helsinki )",18484,11986,10817,1169,6498,843,1232,3556,867
"00540 Kalasatama   (Helsinki )",1247,804,757,47,443,144,149,124,26
"00550 Vallila   (Helsinki )",9221,5771,5176,595,3450,687,939,1475,349
"00560 Toukola-Vanhakaupunki   (Helsinki )",12256,7165,6663,502,5091,1991,1229,1509,362
"00570 Kulosaari   (Helsinki )",3822,1884,1754,130,1938,592,296,874,176
"00580 Verkkosaari   (Helsinki )",2228,1260,1198,62,968,370,125,387,86
"00590 Kaitalahti   (Helsinki )",376,193,178,15,183,76,30,62,15
"00600 Koskela-Helsinki   (Helsinki )",4136,1684,1490,194,2452,552,411,1291,198
"00610 Käpylä   (Helsinki )",7902,4207,3813,394,3695,1145,532,1771,247
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",3145,1570,1476,94,1575,422,219,829,105
"00630 Maunula-Suursuo   (Helsinki )",7852,3800,3303,497,4052,1019,510,2175,348
"00640 Oulunkylä-Patola   (Helsinki )",7886,3985,3657,328,3901,1124,602,1921,254
"00650 Veräjämäki   (Helsinki )",4265,2282,2051,231,1983,766,332,718,167
"00660 Länsi-Pakila   (Helsinki )",6504,3067,2885,182,3437,1152,486,1614,185
"00670 Paloheinä   (Helsinki )",6036,3085,2927,158,2951,1250,478,1053,170
"00680 Itä-Pakila   (Helsinki )",3682,1819,1696,123,1863,729,286,733,115
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",2740,1418,1323,95,1322,593,231,417,81
"00700 Malmi   (Helsinki )",13186,6948,6042,906,6238,2010,1016,2631,581
"00710 Pihlajamäki   (Helsinki )",12347,6257,5379,878,6090,1840,831,2806,613
"00720 Pukinmäki-Savela   (Helsinki )",8413,4391,3896,495,4022,1095,652,1903,372
"00730 Tapanila   (Helsinki )",11203,6215,5665,550,4988,2098,902,1663,325
"00740 Siltamäki   (Helsinki )",10141,5055,4628,427,5086,1792,919,2007,368
"00750 Puistola   (Helsinki )",9202,4953,4392,561,4249,1613,763,1464,409
"00760 Suurmetsä   (Helsinki )",7734,4030,3760,270,3704,1532,653,1297,222
"00770 Jakomäki - Alppikylä   (Helsinki )",6433,3044,2536,508,3389,1029,555,1414,391
"00780 Tapaninvainio   (Helsinki )",7034,3615,3310,305,3419,1081,495,1639,204
"00790 Viikki   (Helsinki )",10372,5542,5163,379,4830,2352,1161,919,398
"00800 Länsi-Herttoniemi   (Helsinki )",7090,3835,3330,505,3255,876,518,1567,294
"00810 Herttoniemi   (Helsinki )",11193,6481,5732,749,4712,1814,769,1653,476
"00820 Roihuvuori   (Helsinki )",7254,3752,3212,540,3502,967,581,1568,386
"00830 Tammisalo   (Helsinki )",2307,989,933,56,1318,446,172,597,103
"00840 Laajasalo   (Helsinki )",8133,3890,3558,332,4243,1213,515,2254,261
"00850 Jollas   (Helsinki )",3148,1576,1466,110,1572,694,271,482,125
"00860 Santahamina   (Helsinki )",452,279,275,4,173,126,32,6,9
"00870 Etelä-Laajasalo   (Helsinki )",4838,2336,2035,301,2502,830,372,1079,221
"00880 Roihupellon teollisuusalue   (Helsinki )",426,276,246,30,150,54,25,53,18
"00890 Itäsalmi   (Helsinki )",2069,1023,970,53,1046,502,239,226,79
"00900 Puotinharju   (Helsinki )",4066,1997,1690,307,2069,474,295,1047,253
"00910 Puotila   (Helsinki )",6144,3070,2662,408,3074,808,440,1515,311
"00920 Myllypuro   (Helsinki )",11110,5219,4557,662,5891,1820,745,2781,545
"00930 Itäkeskus-Marjaniemi   (Helsinki )",6729,3175,2720,455,3554,1050,604,1531,369
"00940 Kontula - Vesala   (Helsinki )",25367,11751,9839,1912,13616,4176,2253,5734,1453
"00950 Vartioharju   (Helsinki )",5516,2853,2659,194,2663,977,431,1076,179
"00960 Pohjois-Vuosaari   (Helsinki )",6941,3582,3173,409,3359,1071,451,1559,278
"00970 Mellunmäki   (Helsinki )",10641,5329,4596,733,5312,1514,805,2491,502
"00980 Etelä-Vuosaari   (Helsinki )",22447,10620,8933,1687,11827,4262,1914,4395,1256
"00990 Aurinkolahti   (Helsinki )",7444,4133,3794,339,3311,1165,381,1483,282
"01120 Västerskog   (Sipoo )",1281,637,606,31,644,220,91,279,54
"01150 Söderkulla   (Sipoo )",4632,2348,2212,136,2284,1085,284,788,127
"01180 Kalkkiranta   (Porvoo )",496,243,231,12,253,101,32,102,18
"01190 Box   (Sipoo )",1007,537,518,19,470,196,58,198,18
"01200 Hakunila   (Vantaa )",11948,6124,5155,969,5824,2244,913,2152,515
"01230 Vaarala   (Vantaa )",2915,1690,1563,127,1225,485,201,457,82
"01260 Itä-Hakkila   (Vantaa )",4759,2541,2363,178,2218,969,353,781,115
"01280 Länsimäki   (Vantaa )",9529,5175,4492,683,4354,1698,648,1645,363
"01300 Tikkurila   (Vantaa )",17635,9729,8806,923,7906,2313,1091,3990,512
"01340 Leinelä   (Vantaa )",510,326,302,24,184,67,27,77,13
"01350 Hiekkaharju   (Vantaa )",9177,5026,4520,506,4151,1570,636,1669,276
"01360 Koivukylä-Havukoski   (Vantaa )",12142,6398,5509,889,5744,1837,999,2372,536
"01370 Jokiniemi   (Vantaa )",5781,3502,3149,353,2279,968,619,514,178
"01380 Kuusikko-Hakkila   (Vantaa )",1963,1057,985,72,906,418,161,274,53
"01390 Ruskeasanta-Ilola   (Vantaa )",8843,4976,4668,308,3867,1916,674,1033,244
"01400 Rekola   (Vantaa )",8012,4047,3621,426,3965,1657,610,1460,238
"01420 Päiväkumpu   (Vantaa )",3221,1657,1548,109,1564,733,285,453,93
"01450 Korso   (Vantaa )",18348,9887,8826,1061,8461,3532,1355,2997,577
"01480 Mikkola   (Vantaa )",6561,3459,3009,450,3102,1340,477,1026,259
"01490 Nikinmäki   (Sipoo )",3967,2068,1951,117,1899,1118,257,417,107
"01510 Kirkonkylä-Veromäki   (Vantaa )",5716,3523,3186,337,2193,1181,316,519,177
"01520 Tammisto   (Vantaa )",7624,4725,4439,286,2899,1939,368,397,195
"01530 Veromiehenkylä   (Vantaa )",529,372,329,43,157,58,29,34,36
"01600 Myyrmäki   (Vantaa )",15771,7897,6954,943,7874,2165,928,4214,567
"01610 Kaivoksela   (Vantaa )",4068,2335,2082,253,1733,533,226,829,145
"01620 Martinlaakso   (Vantaa )",11801,5985,5273,712,5816,1855,760,2765,436
"01630 Hämeenkylä   (Vantaa )",2136,1181,1103,78,955,462,128,311,54
"01640 Hämevaara   (Vantaa )",2751,1476,1369,107,1275,512,149,538,76
"01650 Vapaala   (Vantaa )",4007,2124,1952,172,1883,584,277,877,145
"01660 Varisto   (Vantaa )",2368,1193,1071,122,1175,417,137,537,84
"01670 Vantaanlaakso   (Vantaa )",2731,1495,1405,90,1236,481,177,517,61
"01680 Askisto   (Vantaa )",2053,1078,983,95,975,464,167,291,53
"01690 Ylästö   (Vantaa )",4673,2456,2336,120,2217,1328,361,427,101
"01700 Kivistö   (Vantaa )",3195,1686,1592,94,1509,896,178,382,53
"01710 Pähkinärinne   (Vantaa )",4704,2617,2332,285,2087,722,260,944,161
"01720 Petikko   (Vantaa )",82,57,54,3,25,..,..,..,..
"01730 Vantaanpuisto   (Vantaa )",2353,1231,1156,75,1122,448,133,481,60
"01740 Tuupakan teollisuusalue   (Vantaa )",213,121,109,12,92,30,13,45,4
"01750 Keimola   (Vantaa )",853,447,427,20,406,188,66,126,26
"01760 Seutula   (Vantaa )",2093,1111,1035,76,982,386,133,402,61
"01770 Martinlaakson teollisuusalue   (Vantaa )",0,0,0,0,0,0,0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",7399,3853,3598,255,3546,1455,486,1391,214
"01810 Luhtajoki   (Nurmijärvi )",735,365,344,21,370,195,54,98,23
"01820 Haikala   (Nurmijärvi )",3467,1863,1759,104,1604,885,250,395,74
"01830 Lepsämä   (Nurmijärvi )",2415,1201,1153,48,1214,616,181,365,52
"01840 Klaukkala   (Nurmijärvi )",4253,2272,2165,107,1981,1141,322,421,97
"01860 Perttula   (Nurmijärvi )",2128,1094,1035,59,1034,471,143,358,62
"01900 Nurmijärvi Keskus   (Nurmijärvi )",8815,4288,4006,282,4527,1779,601,1906,241
"01940 Palojoki   (Nurmijärvi )",784,385,367,18,399,182,51,151,15
"02100 Tapiola   (Espoo )",4068,2038,1881,157,2030,453,269,1184,124
"02110 Otsolahti   (Espoo )",2659,1466,1372,94,1193,405,167,526,95
"02120 Länsikorkee-Hakalehto   (Espoo )",2737,1474,1367,107,1263,346,188,648,81
"02130 Pohjois-Tapiola   (Espoo )",5946,3029,2836,193,2917,1109,470,1156,182
"02140 Laajalahti-Friisinmäki   (Espoo )",3690,1904,1763,141,1786,798,321,541,126
"02150 Otaniemi   (Espoo )",3731,1802,1767,35,1929,118,1440,95,276
"02160 Westend   (Espoo )",3153,1441,1365,76,1712,639,240,649,184
"02170 Haukilahti   (Espoo )",5761,2757,2589,168,3004,964,447,1385,208
"02180 Mankkaa   (Espoo )",6599,3320,3105,215,3279,1598,531,929,221
"02200 Niittykumpu   (Espoo )",9340,5170,4824,346,4170,1659,610,1585,316
"02210 Olari-Kuitinmäki   (Espoo )",11159,5686,5216,470,5473,1802,850,2420,401
"02230 Matinkylä   (Espoo )",19558,10345,9264,1081,9213,3276,1548,3470,919
"02240 Friisilä   (Espoo )",2000,1010,954,56,990,421,180,331,58
"02260 Iivisniemi   (Espoo )",3794,1969,1817,152,1825,825,308,552,140
"02270 Suomenoja   (Espoo )",2246,1165,1083,82,1081,519,175,303,84
"02280 Puolarmetsä   (Espoo )",4365,2433,2234,199,1932,1014,357,403,158
"02290 Puolarmetsän sairaala   (Espoo )",19,0,0,0,19,..,..,..,..
"02300 Nöykkiö   (Espoo )",2564,1297,1237,60,1267,615,251,327,74
"02320 Kivenlahti   (Espoo )",16047,8091,7240,851,7956,2516,1073,3722,645
"02330 Kattilalaakso   (Espoo )",8303,4531,4241,290,3772,2070,589,872,241
"02340 Latokaski   (Espoo )",5033,2676,2544,132,2357,1315,368,525,149
"02360 Espoonlahti   (Espoo )",9283,4571,4157,414,4712,1563,705,2099,345
"02380 Suvisaaristo   (Espoo )",647,265,250,15,382,136,50,147,49
