"Postal code area","Inhabitants, total, 2014 (HE)","Females, 2014 (HE)","Males, 2014 (HE)","Average age of inhabitants, 2014 (HE)","0-2 years, 2014 (HE)","3-6 years, 2014 (HE)","7-12 years, 2014 (HE)","13-15 years, 2014 (HE)","16-17 years, 2014 (HE)","18-19 years, 2014 (HE)","20-24 years, 2014 (HE)","25-29 years, 2014 (HE)","30-34 years, 2014 (HE)","35-39 years, 2014 (HE)","40-44 years, 2014 (HE)","45-49 years, 2014 (HE)","50-54 years, 2014 (HE)","55-59 years, 2014 (HE)","60-64 years, 2014 (HE)","65-69 years, 2014 (HE)","70-74 years, 2014 (HE)","75-79 years, 2014 (HE)","80-84 years, 2014 (HE)","85 years or over, 2014 (HE)"
"Finland",5471753,2779890,2691863,42,176893,246390,356775,175857,119577,127698,342086,339565,355387,344429,314679,359317,375585,370897,375230,376614,238873,198424,143437,134040
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",17522,9234,8288,40,457,500,590,230,158,238,1582,2472,2033,1482,1046,979,988,861,826,1093,772,487,334,394
"00120 Punavuori   (Helsinki )",6897,3608,3289,40,199,234,255,109,69,99,522,871,809,637,456,410,374,371,355,393,318,182,117,117
"00130 Kaartinkaupunki   (Helsinki )",1469,753,716,41,37,39,53,25,21,24,113,170,152,133,109,103,90,81,87,100,64,36,22,10
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",7753,4194,3559,41,200,243,355,137,106,109,559,870,818,666,500,482,485,406,421,511,365,225,136,159
"00150 Eira - Hernesaari   (Helsinki )",9221,4959,4262,39,274,271,271,117,72,116,823,1299,1179,918,631,533,498,453,450,493,362,189,138,134
"00160 Katajanokka   (Helsinki )",4461,2393,2068,43,132,173,244,106,64,53,231,322,329,339,301,295,234,304,332,405,281,138,76,102
"00170 Kruununhaka   (Helsinki )",7217,3863,3354,40,198,267,300,128,90,115,498,767,830,662,483,466,447,427,363,411,312,195,126,132
"00180 Kamppi - Ruoholahti   (Helsinki )",12872,6702,6170,39,365,431,507,233,193,257,1039,1646,1484,1201,846,831,846,697,609,681,409,275,168,154
"00190 Suomenlinna   (Helsinki )",783,387,396,37,29,44,68,27,23,17,34,29,43,78,56,83,84,48,34,43,18,12,7,6
"00200 Lauttasaari   (Helsinki )",14908,8144,6764,40,567,605,656,250,166,210,1051,1688,1663,1422,1013,837,762,723,695,881,598,363,311,447
"00210 Vattuniemi   (Helsinki )",7399,3984,3415,42,316,343,374,128,66,84,276,555,704,688,493,467,426,427,455,614,382,250,193,158
"00220 Jätkäsaari   (Helsinki )",2769,1475,1294,31,149,136,90,39,24,51,494,517,346,227,133,105,98,113,97,98,31,18,3,0
"00230 Ilmala   (Helsinki )",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00240 Länsi-Pasila   (Helsinki )",5150,2811,2339,42,145,166,193,92,76,106,476,481,497,344,238,262,338,343,381,446,199,169,112,86
"00250 Taka-Töölö   (Helsinki )",10922,6033,4889,39,275,281,318,132,111,140,1171,1679,1418,993,602,551,537,507,523,541,410,293,206,234
"00260 Keski-Töölö   (Helsinki )",5320,2912,2408,44,126,147,135,58,32,56,457,637,541,405,302,293,308,269,286,383,306,196,158,225
"00270 Pohjois-Meilahti   (Helsinki )",7584,4310,3274,39,202,284,351,157,119,129,695,1011,804,605,459,474,450,406,365,376,258,179,134,126
"00280 Ruskeasuo   (Helsinki )",2911,1676,1235,40,79,95,93,42,34,49,417,370,283,221,149,176,152,144,108,119,118,68,79,115
"00290 Meilahden sairaala-alue   (Helsinki )",152,90,62,44,7,4,1,1,1,2,5,17,15,16,6,8,18,15,10,15,8,0,2,1
"00300 Pikku Huopalahti   (Helsinki )",5797,3170,2627,40,226,254,389,161,125,120,353,475,477,383,355,387,435,416,300,323,212,125,127,154
"00310 Kivihaka   (Helsinki )",875,483,392,41,26,37,16,13,6,17,71,96,111,70,56,42,57,54,57,51,33,21,17,24
"00320 Etelä-Haaga   (Helsinki )",9548,5339,4209,40,288,272,323,120,86,154,1037,1353,1081,763,527,514,447,493,431,480,319,281,239,340
"00330 Munkkiniemi   (Helsinki )",8507,4851,3656,44,241,309,440,230,163,177,454,652,655,582,471,504,533,479,432,561,433,393,297,501
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1696,853,843,42,41,82,124,59,71,60,62,55,61,104,116,122,160,138,104,105,76,59,52,45
"00350 Munkkivuori-Niemenmäki   (Helsinki )",9226,5121,4105,40,279,371,454,199,135,169,871,926,814,728,552,623,606,509,481,471,338,238,210,252
"00360 Pajamäki   (Helsinki )",1830,991,839,42,52,49,57,21,19,35,177,184,192,146,97,100,122,121,117,98,72,47,63,61
"00370 Reimarla   (Helsinki )",6501,3451,3050,39,264,298,391,175,113,136,532,555,583,497,356,402,389,339,352,380,244,214,145,136
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",4399,2256,2143,38,175,193,221,119,95,77,295,415,418,378,265,351,319,289,249,245,104,116,48,27
"00390 Konala   (Helsinki )",6149,3138,3011,39,240,249,319,149,128,122,445,561,583,446,400,436,414,428,383,333,191,156,94,72
"00400 Pohjois-Haaga   (Helsinki )",9469,5144,4325,42,308,323,339,152,124,168,868,1081,956,782,495,498,482,489,498,524,368,315,302,397
"00410 Malminkartano   (Helsinki )",8537,4487,4050,36,295,390,444,255,188,231,1017,913,740,575,459,552,545,596,525,437,182,119,49,25
"00420 Kannelmäki   (Helsinki )",13884,7410,6474,41,403,509,632,356,246,314,1325,1246,1107,957,726,870,895,858,902,941,580,419,313,285
"00430 Maununneva   (Helsinki )",4866,2467,2399,39,156,261,359,216,138,138,283,218,250,317,327,400,368,370,376,355,158,79,60,37
"00440 Lassila   (Helsinki )",4537,2546,1991,44,155,151,165,66,44,80,389,490,401,271,190,195,234,274,314,345,200,184,135,254
"00500 Sörnäinen   (Helsinki )",12455,6233,6222,37,206,149,133,48,56,156,1538,2543,2232,1290,689,635,630,527,449,439,269,180,145,141
"00510 Etu-Vallila - Alppila   (Helsinki )",8738,4495,4243,39,203,150,124,36,38,116,915,1503,1398,984,502,455,457,398,393,407,230,188,115,126
"00520 Itä-Pasila   (Helsinki )",6725,3472,3253,39,232,223,213,77,76,92,626,914,874,570,347,378,319,376,366,416,251,168,114,93
"00530 Kallio   (Helsinki )",18523,9752,8771,41,321,249,232,80,94,152,1894,3139,2815,1706,1027,1013,991,862,989,1055,702,478,365,359
"00540 Kalasatama   (Helsinki )",1579,830,749,34,75,66,43,26,13,30,250,229,209,146,83,72,80,67,61,55,25,18,16,15
"00550 Vallila   (Helsinki )",9357,4961,4396,38,225,198,194,104,73,160,1250,1456,1289,900,482,492,511,429,435,411,252,180,148,168
"00560 Toukola-Vanhakaupunki   (Helsinki )",12602,6761,5841,35,594,654,680,215,144,185,1331,1477,1413,1228,742,700,692,590,651,589,312,202,124,79
"00570 Kulosaari   (Helsinki )",3849,2069,1780,41,120,156,247,128,94,80,237,278,290,317,244,246,259,190,191,219,181,134,113,125
"00580 Verkkosaari   (Helsinki )",2543,1323,1220,37,130,130,134,31,30,29,213,266,314,238,169,145,137,116,112,103,63,52,59,72
"00590 Kaitalahti   (Helsinki )",378,188,190,40,14,21,34,10,12,10,13,12,15,23,29,33,35,39,22,20,13,13,7,3
"00600 Koskela-Helsinki   (Helsinki )",4139,2205,1934,44,111,163,203,111,74,76,351,314,300,223,213,223,260,261,257,274,218,177,148,182
"00610 Käpylä   (Helsinki )",8205,4595,3610,41,372,385,389,165,134,127,373,579,872,786,522,536,523,479,471,455,280,224,206,327
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",3158,1713,1445,44,78,117,154,77,69,62,217,268,217,210,175,207,225,196,170,181,133,127,114,161
"00630 Maunula-Suursuo   (Helsinki )",8097,4323,3774,44,264,323,418,174,125,152,493,587,555,559,500,500,549,563,564,512,380,303,275,301
"00640 Oulunkylä-Patola   (Helsinki )",7970,4306,3664,42,236,307,434,203,150,155,581,679,580,510,461,514,537,478,506,540,314,292,252,241
"00650 Veräjämäki   (Helsinki )",4253,2241,2012,38,164,220,315,138,90,114,234,282,319,364,270,326,317,291,242,198,147,103,64,55
"00660 Länsi-Pakila   (Helsinki )",6582,3327,3255,43,214,304,481,265,170,162,279,182,313,398,434,486,522,427,441,485,353,279,176,211
"00670 Paloheinä   (Helsinki )",5979,3055,2924,40,208,327,552,237,150,174,249,140,264,436,411,469,546,444,418,432,234,131,76,81
"00680 Itä-Pakila   (Helsinki )",3725,1850,1875,40,123,204,315,162,128,80,151,147,155,255,262,322,304,257,213,208,160,129,89,61
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",2766,1412,1354,37,111,179,229,127,81,84,112,110,157,201,226,202,216,175,182,209,88,38,29,10
"00700 Malmi   (Helsinki )",13250,7053,6197,40,470,574,712,393,265,327,1051,1137,1025,834,742,879,990,961,839,763,425,358,274,231
"00710 Pihlajamäki   (Helsinki )",12565,6664,5901,41,465,587,612,297,214,249,763,1038,1107,879,696,844,895,814,773,821,502,444,317,248
"00720 Pukinmäki-Savela   (Helsinki )",8420,4561,3859,42,286,333,398,170,164,142,702,751,680,547,441,466,523,596,606,571,372,304,192,176
"00730 Tapanila   (Helsinki )",11353,5951,5402,38,398,615,874,392,277,290,594,668,812,850,747,842,1002,864,726,600,343,242,129,88
"00740 Siltamäki   (Helsinki )",10253,5279,4974,39,352,487,726,369,237,302,741,631,660,655,616,765,750,624,642,703,411,282,192,108
"00750 Puistola   (Helsinki )",9105,4721,4384,38,345,476,575,285,191,225,673,670,711,665,552,676,673,579,611,490,286,177,128,117
"00760 Suurmetsä   (Helsinki )",7751,3960,3791,39,227,454,626,319,235,232,408,304,440,516,496,649,648,578,495,456,288,192,125,63
"00770 Jakomäki - Alppikylä   (Helsinki )",6344,3297,3047,39,269,286,376,213,158,156,544,511,441,373,346,488,451,355,302,385,243,230,117,100
"00780 Tapaninvainio   (Helsinki )",7070,3645,3425,43,229,302,422,215,159,183,335,364,434,426,376,491,577,564,584,495,327,251,160,176
"00790 Viikki   (Helsinki )",10587,5664,4923,32,546,709,886,341,193,225,1128,1191,1084,965,701,653,535,392,274,306,182,125,82,69
"00800 Länsi-Herttoniemi   (Helsinki )",7155,3857,3298,42,213,265,337,148,111,125,483,626,630,551,444,494,512,507,406,395,267,219,170,252
"00810 Herttoniemi   (Helsinki )",11319,5969,5350,37,453,532,643,305,207,210,829,1102,1076,950,733,850,801,706,611,542,332,213,142,82
"00820 Roihuvuori   (Helsinki )",7217,3962,3255,41,232,289,329,181,111,168,542,517,644,550,436,536,532,486,395,375,236,229,223,206
"00830 Tammisalo   (Helsinki )",2268,1188,1080,43,66,123,195,82,52,60,80,52,74,138,156,185,199,133,124,178,128,84,81,78
"00840 Laajasalo   (Helsinki )",8168,4456,3712,44,265,325,475,240,146,167,386,380,462,578,456,571,574,505,579,779,485,335,241,219
"00850 Jollas   (Helsinki )",3152,1582,1570,38,119,193,286,143,101,82,142,91,131,182,243,324,291,223,189,214,93,55,30,20
"00860 Santahamina   (Helsinki )",433,206,227,28,31,41,48,12,6,7,22,42,59,59,26,39,26,7,4,3,1,0,0,0
"00870 Etelä-Laajasalo   (Helsinki )",4837,2569,2268,40,191,255,309,147,111,98,377,335,336,307,273,334,322,274,280,284,187,174,136,107
"00880 Roihupellon teollisuusalue   (Helsinki )",624,329,295,37,30,19,18,12,8,14,66,96,57,61,39,35,42,33,26,30,19,12,6,1
"00890 Itäsalmi   (Helsinki )",2063,1035,1028,36,47,90,225,154,119,86,86,39,50,91,156,323,211,106,86,90,49,30,15,10
"00900 Puotinharju   (Helsinki )",4137,2156,1981,43,127,115,176,109,74,95,335,336,283,264,207,312,295,258,258,234,172,191,164,132
"00910 Puotila   (Helsinki )",6215,3354,2861,43,192,254,291,141,92,115,473,511,465,448,401,388,432,354,360,335,225,243,228,267
"00920 Myllypuro   (Helsinki )",11772,6190,5582,42,461,611,647,386,268,244,685,660,756,779,665,841,923,772,708,722,480,498,384,282
"00930 Itäkeskus-Marjaniemi   (Helsinki )",6748,3606,3142,41,212,263,406,235,151,187,492,472,396,370,364,485,500,498,435,432,285,227,188,150
"00940 Kontula - Vesala   (Helsinki )",25578,13489,12089,40,902,1089,1662,811,597,683,1939,1725,1731,1468,1528,1838,1847,1586,1439,1427,1049,1001,730,526
"00950 Vartioharju   (Helsinki )",5501,2804,2697,41,150,237,452,204,168,152,255,181,261,333,352,492,509,429,385,363,269,154,89,66
"00960 Pohjois-Vuosaari   (Helsinki )",6942,3671,3271,42,193,271,433,235,148,183,377,376,430,448,452,618,564,456,420,489,325,261,153,110
"00970 Mellunmäki   (Helsinki )",10686,5684,5002,42,363,419,565,313,270,240,691,740,712,657,599,767,842,779,701,741,480,402,253,152
"00980 Etelä-Vuosaari   (Helsinki )",22412,12064,10348,39,857,1130,1690,821,532,545,1425,1540,1428,1450,1400,1719,1677,1358,1222,1210,811,723,480,394
"00990 Aurinkolahti   (Helsinki )",7757,4169,3588,41,301,359,464,163,102,123,457,569,601,639,540,556,516,543,486,529,345,268,139,57
"01120 Västerskog   (Sipoo )",1314,627,687,42,36,52,112,40,36,28,58,35,68,84,82,117,123,113,81,107,52,37,37,16
"01150 Söderkulla   (Sipoo )",4835,2409,2426,38,188,338,466,181,122,125,173,156,271,420,400,446,320,286,230,296,152,104,76,85
"01180 Kalkkiranta   (Porvoo )",480,232,248,42,11,22,45,23,14,16,18,10,15,25,30,60,41,31,30,31,22,16,10,10
"01190 Box   (Sipoo )",1026,530,496,41,34,52,77,44,29,29,35,21,64,76,67,102,84,76,61,60,47,39,18,11
"01200 Hakunila   (Vantaa )",11977,6160,5817,38,510,661,844,411,280,305,707,809,926,863,802,840,845,731,709,713,446,286,178,111
"01230 Vaarala   (Vantaa )",2906,1431,1475,39,101,130,178,101,76,84,156,185,227,214,207,266,233,194,157,168,113,73,26,17
"01260 Itä-Hakkila   (Vantaa )",4749,2309,2440,39,152,259,414,204,146,130,199,171,266,332,370,433,367,327,341,302,137,101,62,36
"01280 Länsimäki   (Vantaa )",9410,4791,4619,39,347,477,639,323,221,214,446,572,721,682,653,686,755,687,724,599,341,171,98,54
"01300 Tikkurila   (Vantaa )",17977,9417,8560,42,512,687,906,460,332,405,1301,1439,1449,1202,1001,1211,1247,1230,1165,1160,751,669,472,378
"01340 Leinelä   (Vantaa )",599,327,272,37,19,29,17,9,5,16,86,86,52,37,29,27,33,48,41,29,20,10,3,3
"01350 Hiekkaharju   (Vantaa )",9468,4941,4527,39,322,406,645,328,214,243,752,801,703,619,560,675,680,599,533,444,356,286,207,95
"01360 Koivukylä-Havukoski   (Vantaa )",12191,6297,5894,39,458,555,648,311,233,315,1093,1008,932,871,741,789,801,783,750,754,465,307,215,162
"01370 Jokiniemi   (Vantaa )",5831,3016,2815,33,260,285,358,162,108,152,763,674,578,448,308,381,406,310,229,194,82,82,33,18
"01380 Kuusikko-Hakkila   (Vantaa )",1936,969,967,38,96,104,157,88,58,63,71,87,127,147,123,163,160,125,114,108,60,33,33,19
"01390 Ruskeasanta-Ilola   (Vantaa )",8897,4461,4436,36,375,525,795,358,252,254,493,468,674,708,627,729,756,585,447,387,202,122,99,41
"01400 Rekola   (Vantaa )",8168,4199,3969,39,275,432,691,363,228,212,408,433,471,531,559,675,576,528,455,517,301,202,152,159
"01420 Päiväkumpu   (Vantaa )",3190,1549,1641,37,94,181,306,180,123,118,133,79,140,196,267,295,315,217,175,157,92,71,37,14
"01450 Korso   (Vantaa )",18374,9270,9104,38,672,981,1355,681,426,466,1125,1179,1313,1444,1252,1412,1445,1195,1018,991,588,408,247,176
"01480 Mikkola   (Vantaa )",6567,3294,3273,37,285,368,539,251,164,153,357,449,488,459,479,540,475,397,338,364,193,148,75,45
"01490 Nikinmäki   (Sipoo )",3990,1995,1995,34,178,315,471,215,112,109,135,123,238,381,404,335,267,210,165,144,83,57,31,17
"01510 Kirkonkylä-Veromäki   (Vantaa )",6021,3020,3001,33,340,416,408,155,94,109,443,672,775,621,401,399,302,255,223,179,103,82,26,18
"01520 Tammisto   (Vantaa )",7853,4080,3773,30,487,604,767,215,124,130,489,757,975,951,675,546,361,268,183,172,79,46,15,9
"01530 Veromiehenkylä   (Vantaa )",565,261,304,34,27,17,10,11,6,7,75,85,74,48,53,47,44,23,20,11,5,1,0,1
"01600 Myyrmäki   (Vantaa )",16027,8578,7449,42,535,657,874,342,247,303,1186,1339,1301,1019,808,943,826,932,994,1238,902,707,503,371
"01610 Kaivoksela   (Vantaa )",4318,2141,2177,41,128,160,201,95,62,89,345,386,349,335,265,299,316,260,277,310,171,116,70,84
"01620 Martinlaakso   (Vantaa )",11836,6074,5762,41,410,516,703,362,218,246,785,871,888,801,660,760,729,724,742,853,655,503,271,139
"01630 Hämeenkylä   (Vantaa )",2109,1082,1027,38,88,128,182,89,45,44,68,92,153,160,145,170,139,176,163,148,67,30,19,3
"01640 Hämevaara   (Vantaa )",2892,1449,1443,40,105,138,194,113,59,46,152,154,183,200,219,209,247,220,196,154,120,84,66,33
"01650 Vapaala   (Vantaa )",4036,2011,2025,41,114,183,252,101,90,114,253,204,243,299,268,283,332,294,251,299,208,133,67,48
"01660 Varisto   (Vantaa )",2363,1224,1139,41,66,115,174,86,40,55,111,127,172,163,145,166,172,151,167,195,116,75,35,32
"01670 Vantaanlaakso   (Vantaa )",2747,1412,1335,39,119,130,196,84,82,51,101,162,227,220,178,196,199,170,154,244,114,62,32,26
"01680 Askisto   (Vantaa )",2038,1003,1035,37,62,113,199,100,77,60,84,58,113,143,183,186,158,125,136,123,48,33,20,17
"01690 Ylästö   (Vantaa )",4634,2321,2313,33,201,346,576,238,158,134,141,119,264,443,437,468,332,229,184,175,93,50,31,15
"01700 Kivistö   (Vantaa )",3419,1696,1723,34,178,292,402,124,78,62,118,151,243,375,305,269,190,177,125,125,64,74,40,27
"01710 Pähkinärinne   (Vantaa )",4754,2473,2281,41,154,227,271,118,85,75,294,366,404,372,315,302,339,306,318,337,176,123,90,82
"01720 Petikko   (Vantaa )",68,32,36,43,3,0,1,2,0,0,5,9,4,5,3,10,9,3,2,6,3,0,2,1
"01730 Vantaanpuisto   (Vantaa )",2410,1146,1264,40,77,138,184,86,58,52,109,145,154,176,199,197,143,143,120,146,116,90,51,26
"01740 Tuupakan teollisuusalue   (Vantaa )",204,89,115,45,2,10,14,4,4,6,5,8,11,11,15,16,15,19,27,13,9,8,2,5
"01750 Keimola   (Vantaa )",864,413,451,38,21,58,77,46,25,22,32,26,47,66,81,68,81,55,50,32,37,25,9,6
"01760 Seutula   (Vantaa )",2137,1051,1086,41,72,100,168,90,62,51,69,95,102,128,155,195,205,161,151,117,88,62,36,30
"01770 Martinlaakson teollisuusalue   (Vantaa )",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",7607,3933,3674,39,307,437,573,302,202,200,411,324,454,575,511,610,565,453,484,445,302,222,148,82
"01810 Luhtajoki   (Nurmijärvi )",735,341,394,37,25,45,72,52,30,22,24,15,29,46,71,75,57,38,35,41,23,18,10,7
"01820 Haikala   (Nurmijärvi )",3500,1802,1698,35,168,208,371,204,102,95,114,147,240,315,290,293,267,185,151,165,99,63,12,11
"01830 Lepsämä   (Nurmijärvi )",2416,1183,1233,37,82,140,267,154,75,83,79,54,107,167,193,247,212,129,110,141,87,60,19,10
"01840 Klaukkala   (Nurmijärvi )",4276,2196,2080,34,182,291,499,246,133,132,141,123,232,344,383,420,356,266,185,151,100,54,27,11
