"Postal code area","Households, total, 2015 (TE)","Average size of households, 2015 (TE)","Occupancy rate, 2015 (TE)","Young single persons, 2015 (TE)","Young couples without children, 2015 (TE)","Households with children, 2015 (TE)","Households with small children, 2015 (TE)","Households with children under school age, 2015 (TE)","Households with school-age children, 2015 (TE)","Households with teenagers, 2015 (TE)","Adult households, 2015 (TE)","Pensioner households, 2015 (TE)","Households living in owner-occupied dwellings, 2015 (TE)","Households living in rented dwellings, 2015 (TE)","Households living in other dwellings, 2015 (TE)"
"Finland",2634339,2.0,40.1,266881,118430,575183,152552,286585,257843,220530,1266725,803286,1698102,877977,58260
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",9969,1.8,38.7,2031,902,1272,432,731,477,331,6416,2330,4625,4943,401
"00120 Punavuori   (Helsinki )",3854,1.8,39.1,676,331,576,180,326,222,137,2437,867,1967,1735,152
"00130 Kaartinkaupunki   (Helsinki )",828,1.9,42.9,139,77,126,37,65,49,41,524,183,423,366,39
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",4395,1.8,41.9,762,383,648,182,337,259,183,2697,1067,2163,2019,213
"00150 Eira - Hernesaari   (Helsinki )",5670,1.6,34.4,1363,492,687,229,422,223,147,3953,1053,2787,2594,289
"00160 Katajanokka   (Helsinki )",2282,2.0,40.3,149,133,439,115,231,184,146,1078,773,1174,1015,93
"00170 Kruununhaka   (Helsinki )",4027,1.8,38.3,685,315,669,202,366,244,187,2438,937,2078,1795,154
"00180 Kamppi - Ruoholahti   (Helsinki )",7302,1.8,33.7,1274,642,1109,361,621,406,321,4817,1399,2898,4190,214
"00190 Suomenlinna   (Helsinki )",319,2.4,30.2,8,8,117,31,60,55,32,144,61,12,307,0
"00200 Lauttasaari   (Helsinki )",8344,1.8,33.9,1446,691,1427,480,861,544,340,4891,2062,4661,3388,295
"00210 Vattuniemi   (Helsinki )",4027,1.9,37.5,386,300,798,278,466,321,185,2012,1232,2747,1159,121
"00220 Jätkäsaari   (Helsinki )",1504,1.9,29.8,353,244,317,150,230,79,55,1038,155,320,1179,5
"00230 Ilmala   (Helsinki )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
