"Year","Quarter","Building type","Postal code","Year of construction","Mean"
"2005","Whole year","Building types total","00100","Year of construction, total",3610
"2005","Whole year","Building types total","00120","Year of construction, total",3960
"2005","Whole year","Building types total","00130","Year of construction, total",4096
"2005","Whole year","Building types total","00140","Year of construction, total",4225
"2005","Whole year","Building types total","00150","Year of construction, total",3890
"2005","Whole year","Building types total","00160","Year of construction, total",4078
"2005","Whole year","Building types total","00170","Year of construction, total",3666
"2005","Whole year","Building types total","00180","Year of construction, total",3702
"2005","Whole year","Building types total","00190","Year of construction, total",.
"2005","Whole year","Building types total","00200","Year of construction, total",2974
"2005","Whole year","Building types total","00210","Year of construction, total",3293
"2005","Whole year","Building types total","00220","Year of construction, total",.
"2005","Whole year","Building types total","00240","Year of construction, total",.
"2005","Whole year","Building types total","00250","Year of construction, total",3478
"2005","Whole year","Building types total","00260","Year of construction, total",3625
"2005","Whole year","Building types total","00270","Year of construction, total",3176
"2005","Whole year","Building types total","00280","Year of construction, total",3059
"2005","Whole year","Building types total","00290","Year of construction, total",.
"2005","Whole year","Building types total","00300","Year of construction, total",2671
"2005","Whole year","Building types total","00310","Year of construction, total",2573
"2005","Whole year","Building types total","00320","Year of construction, total",2736
"2005","Whole year","Building types total","00330","Year of construction, total",3258
"2005","Whole year","Building types total","00340","Year of construction, total",2974
"2005","Whole year","Building types total","00350","Year of construction, total",2670
"2005","Whole year","Building types total","00360","Year of construction, total",2369
"2005","Whole year","Building types total","00370","Year of construction, total",2453
"2005","Whole year","Building types total","00380","Year of construction, total",.
"2005","Whole year","Building types total","00390","Year of construction, total",2176
"2005","Whole year","Building types total","00400","Year of construction, total",2321
"2005","Whole year","Building types total","00410","Year of construction, total",1989
"2005","Whole year","Building types total","00420","Year of construction, total",2001
"2005","Whole year","Building types total","00430","Year of construction, total",2433
"2005","Whole year","Building types total","00440","Year of construction, total",2487
"2005","Whole year","Building types total","00500","Year of construction, total",2893
"2005","Whole year","Building types total","00510","Year of construction, total",2761
"2005","Whole year","Building types total","00520","Year of construction, total",2565
"2005","Whole year","Building types total","00530","Year of construction, total",2975
