	Housing price (2005)	Housing price (2006)	Housing price (2007)	Housing price (2008)	Housing price (2009)	Housing price (2010)	Housing price (2011)	Housing price (2012)	Housing price (2013)	Housing price (2014)	Housing price (2015)	Housing price (2016)	Housing price (2017)	Housing price (2018)	Housing price (2019)	Housing price (2020)
00100	3610.0	4027.0	4334.0	4442.0	4449.0	5168.0	5572.0	5785.0	5986.0	6096.0	6095.0	5740.0	6671.0	6868.0	7102.0	7336.0
00120	3960.0	4334.0	4725.0	4896.0	4975.0	5573.0	5622.0	5897.0	6202.0	6078.0	6396.0	6661.0	7209.0	7276.0	7519.0	7761.0
00130	4096.0	4627.0	5254.0	5229.0	5361.0	5692.0	6646.0	6199.0	6680.0	7142.0	6372.0	7521.0	7628.0	7919.0	8189.0	8458.0
00140	4225.0	4649.0	5095.0	5192.0	5206.0	5955.0	6319.0	6253.0	6674.0	6726.0	6748.0	7110.0	7564.0	7777.0	8034.0	8291.0
00150	3890.0	4324.0	4597.0	4658.0	4813.0	5347.0	5754.0	5850.0	6303.0	6610.0	6537.0	6688.0	7197.0	7457.0	7725.0	7993.0
00160	4078.0	4563.0	4660.0	5161.0	5316.0	5510.0	5932.0	6408.0	6383.0	6069.0	6077.0	5981.0	5991.0	6701.0	6866.0	7031.0
00170	3666.0	4258.0	4589.0	4606.0	4669.0	5314.0	5747.0	5863.0	6293.0	6056.0	6400.0	6585.0	6954.0	7259.0	7516.0	7773.0
00180	3702.0	4040.0	4420.0	4481.0	4617.0	5138.0	5466.0	5594.0	5872.0	6058.0	6247.0	6714.0	6931.0	7165.0	7428.0	7690.0
00190	3843.0	4259.0	4585.0	4694.0	4790.0	5376.0	5744.0	5881.0	6214.0	6282.0	6357.0	6468.0	7009.0	7240.0	7488.0	7737.0
00200	2974.0	3445.0	3655.0	3847.0	3754.0	4236.0	4575.0	4703.0	4930.0	4999.0	5079.0	5312.0	5586.0	5814.0	6017.0	6220.0
00210	3293.0	3604.0	4019.0	4074.0	4281.0	4569.0	4726.0	4865.0	5116.0	5163.0	5178.0	5371.0	5440.0	5807.0	5980.0	6154.0
00220	3230.0	3593.0	3896.0	4024.0	4074.0	4461.0	4784.0	4937.0	5213.0	5246.0	5292.0	5493.0	5720.0	6014.0	6214.0	6414.0
00230	3230.0	3593.0	3896.0	4024.0	4074.0	4461.0	4784.0	4937.0	5213.0	5246.0	5292.0	5493.0	5720.0	6014.0	6214.0	6414.0
00240	3230.0	3593.0	3896.0	4024.0	4074.0	3286.0	4784.0	3776.0	4574.0	5052.0	4317.0	4505.0	4529.0	4842.0	4944.0	5046.0
00250	3478.0	3701.0	4067.0	4230.0	4277.0	4707.0	4952.0	5220.0	5499.0	5423.0	5589.0	5874.0	6104.0	6364.0	6580.0	6796.0
00260	3625.0	3994.0	4258.0	4468.0	4467.0	4937.0	5349.0	5343.0	5764.0	5856.0	5890.0	6033.0	6411.0	6668.0	6892.0	7115.0
00270	3176.0	3537.0	3868.0	3920.0	4149.0	4546.0	4686.0	5048.0	5367.0	5357.0	5334.0	5599.0	5952.0	6198.0	6418.0	6638.0
00280	3059.0	3316.0	3551.0	3640.0	3757.0	4135.0	4414.0	4597.0	4816.0	4899.0	5121.0	5214.0	5296.0	5660.0	5856.0	6051.0
00290	3230.0	3593.0	3896.0	4024.0	4074.0	4461.0	4784.0	4937.0	5213.0	5246.0	5292.0	5493.0	5720.0	6014.0	6214.0	6414.0
00300	2671.0	3072.0	3361.0	3252.0	3666.0	4408.0	4424.0	4425.0	4636.0	4782.0	5352.0	4964.0	5225.0	5683.0	5899.0	6115.0
00310	2573.0	2855.0	2951.0	2954.0	2777.0	3432.0	3352.0	3524.0	3642.0	3649.0	3652.0	4175.0	4428.0	4321.0	4456.0	4590.0
00320	2736.0	2931.0	3105.0	3143.0	3219.0	3617.0	3850.0	4020.0	4215.0	4342.0	4532.0	4627.0	4641.0	4983.0	5156.0	5330.0
00330	3258.0	3648.0	3878.0	4004.0	3916.0	4344.0	4585.0	4799.0	4929.0	4939.0	5193.0	5181.0	5408.0	5664.0	5835.0	6006.0
00340	2974.0	3458.0	3748.0	3726.0	3387.0	3657.0	3670.0	4019.0	3964.0	3723.0	4035.0	3992.0	4231.0	4232.0	4302.0	4373.0
00350	2670.0	2871.0	3079.0	3178.0	3156.0	3562.0	3726.0	3998.0	4142.0	4094.0	4240.0	4363.0	4517.0	4751.0	4907.0	5062.0
00360	2369.0	2525.0	2654.0	2692.0	2608.0	2957.0	3043.0	3225.0	3287.0	3389.0	3442.0	3835.0	3809.0	3912.0	4033.0	4155.0
00370	2453.0	2703.0	2905.0	2797.0	2894.0	3180.0	3250.0	3493.0	4076.0	3907.0	3789.0	4003.0	4079.0	4340.0	4482.0	4624.0
00380	2686.0	2912.0	3132.0	3149.0	3189.0	3607.0	3758.0	3915.0	4028.0	4167.0	4314.0	4395.0	4555.0	4769.0	4925.0	5081.0
00390	2176.0	2311.0	2436.0	2461.0	2443.0	2704.0	2800.0	2899.0	2974.0	3041.0	3148.0	3144.0	3390.0	3428.0	3523.0	3618.0
00400	2321.0	2440.0	2659.0	2679.0	2722.0	3119.0	3298.0	3476.0	3671.0	3702.0	3797.0	3680.0	4015.0	4207.0	4351.0	4495.0
00410	1989.0	2057.0	2054.0	2124.0	2170.0	2558.0	2647.0	2599.0	2688.0	2555.0	2548.0	2644.0	2754.0	2870.0	2936.0	3001.0
00420	2001.0	2149.0	2381.0	2410.0	2402.0	2734.0	2683.0	2766.0	2957.0	2985.0	3296.0	2863.0	3198.0	3343.0	3438.0	3533.0
00430	2433.0	2734.0	2784.0	2715.0	2744.0	3267.0	3246.0	3182.0	3201.0	3363.0	3438.0	3444.0	2986.0	3512.0	3580.0	3647.0
00440	2487.0	2709.0	2911.0	2758.0	2833.0	3052.0	3374.0	3229.0	3440.0	3639.0	3479.0	3600.0	3629.0	3842.0	3938.0	4035.0
