posti_alue	Radius
90510	316.233
90520	377.297
90530	511.995
90540	1066.294
90550	675.477
90560	487.099
90570	679.119
90580	680.196
90590	436.479
90620	1268.035
90630	1034.070
90650	581.453
90660	4714.383
90670	1680.074
90800	1236.653
90810	130.253
90820	1553.560
90830	1471.866
90840	2457.111
90850	936.879
92150	449.966
92160	1864.877
92180	337.860
92210	1413.120
92220	3368.312
92230	1680.218
92240	2034.475
92260	3611.322
92320	3566.927
92330	2364.264
92350	3990.501
92400	4802.542
92430	3679.080
92440	1337.336
92450	4643.966
92470	4433.950
92500	4600.298
92520	3174.733
92530	1573.399
92600	3665.705
92610	2606.287
92620	6053.457
92930	4232.450
93100	7919.703
93140	5612.266
93160	8206.132
93170	2356.629
93180	1670.983
93187	6063.396
93190	5617.414
93195	1729.936
93220	4935.693
93225	5239.787
93240	3246.243
93250	11050.842
93270	1213.318
93277	3358.987
93280	8244.042
93290	3963.386
93350	4564.318
93390	6380.096
93400	10867.098
93420	5528.601
93440	5800.303
93470	6571.172
93540	8486.799
93590	3172.591
93700	16844.507
94100	269.823
94200	542.977
94300	1265.614
94400	1627.732
94430	1521.028
94450	1517.174
94460	1568.248
94500	3542.866
94600	480.522
94700	2229.498
94720	182.794
56730	2122.112
56800	2913.589
57100	1490.477
57120	190.224
57130	517.080
57170	409.710
57200	276.946
57210	1376.872
57220	507.773
57230	5427.340
57310	1558.308
57510	533.243
57600	1919.755
57710	1308.370
57810	1155.575
58130	2361.266
58140	2779.678
58150	2168.079
58160	1807.912
58170	2104.449
58175	2660.930
58180	3455.013
58200	3147.171
58220	2643.025
58260	2594.826
58300	5083.638
58320	767.369
58350	3024.842
58360	2628.514
58390	3415.367
58410	1272.726
58420	1977.438
58430	2086.779
58450	2826.745
58500	769.658
58520	4651.857
58550	2406.821
58570	2037.625
58580	3452.185
58610	1985.180
58620	2918.139
58650	2956.480
58680	3054.558
58690	1818.014
58700	7022.656
58720	3698.637
58770	2329.505
58810	3822.364
58830	1995.283
58850	2644.869
58900	6470.848
58910	577.347
58920	2849.235
58940	3056.640
59100	4495.267
59130	2754.554
59210	2471.677
59310	4003.096
59320	1818.449
59410	2688.262
59510	1020.035
59520	1456.121
59530	1187.330
59610	2266.648
59710	1159.125
59720	3160.323
59730	2391.086
59800	5324.541
59810	1664.551
59820	1827.347
60100	220.601
60120	903.944
60150	617.642
60200	1589.148
60220	556.371
60280	824.201
60320	1711.344
60420	1894.742
60450	2086.357
60510	1082.494
60550	3773.219
60560	868.717
60640	3107.014
60720	2132.764
60760	2861.530
60800	3417.365
61100	1877.804
61110	1292.297
61120	3434.418
61140	1334.142
61150	1778.598
61160	1718.806
61170	2649.530
61180	1828.226
61220	1284.573
61230	3011.002
61250	1353.649
61270	3629.984
61280	2383.520
61290	1190.684
61300	2047.956
61310	1591.070
61330	1762.385
61340	2380.233
61350	2777.106
61360	124.987
61370	631.631
61380	2290.220
61400	1530.861
61410	2732.447
61430	95.064
61440	2217.660
61450	2007.856
61460	2458.295
61470	2289.636
61500	2167.651
61520	3116.969
61550	1170.703
61560	2357.305
61600	2260.118
61630	2771.545
61640	1469.189
61650	2578.540
61680	1577.586
61710	1520.713
61720	3553.792
61730	2153.247
61760	2734.635
61800	3630.136
62810	1836.776
62830	1674.075
62840	1088.075
62860	1422.054
62870	1953.373
62880	2652.179
62900	1254.756
62920	1939.787
62940	1573.401
62950	2781.447
62990	2752.849
63100	2883.825
63120	3190.637
63130	4909.267
63150	3166.219
63160	1809.416
63210	2062.818
63230	2205.182
63250	845.222
63300	2005.150
63320	2211.658
63330	1567.196
63340	2269.230
