Postal code	Surface area (2013)	Surface area (2014)	Surface area (2015)	Surface area (2016)	Surface area (2017)
00100	4072868.0	3243167.0	3243167.0	2353278.0	2353278.0
00120	410326.0	414010.0	414010.0	414010.0	414010.0
00130	578690.0	523214.0	523214.0	428960.0	428960.0
00140	166416162.0	166027491.0	166027491.0	931841.0	931841.0
00150	6613486.0	6517959.0	6517959.0	1367328.0	1367328.0
00160	2013956.0	2006295.0	2006295.0	541136.0	541136.0
00170	2276945.0	1299095.0	1299095.0	713343.0	713343.0
00180	3801135.0	2670233.0	2670233.0	1735293.0	1735293.0
00190	3966586.0	3896114.0	3896114.0	765012.0	765012.0
00200	8121502.0	8165909.0	8165909.0	2619434.0	2619434.0
00210	20021412.0	19970789.0	19970789.0	1478221.0	1478221.0
00220	1235097.0	751549.0	751549.0	684781.0	684781.0
00230	171851.0	171851.0	171851.0	171851.0	171851.0
00240	2390940.0	2352593.0	2352593.0	2352593.0	2352593.0
00250	6627919.0	4714897.0	4714897.0	3060834.0	3060834.0
00260	1031283.0	905736.0	905736.0	751805.0	751805.0
00270	864904.0	864732.0	864732.0	864732.0	864732.0
00280	753423.0	787425.0	787425.0	787425.0	787425.0
00290	262062.0	268739.0	268739.0	268739.0	268739.0
00300	837069.0	851105.0	851105.0	851105.0	851105.0
00310	663950.0	657213.0	657213.0	657213.0	657213.0
00320	1976652.0	1942280.0	1942280.0	1942280.0	1942280.0
00330	4443739.0	2895946.0	2895946.0	1726680.0	1726680.0
00340	4217544.0	4407752.0	4407752.0	1008214.0	1008214.0
00350	2233639.0	2225475.0	2225475.0	2148284.0	2148284.0
00360	529221.0	539398.0	539398.0	539398.0	539398.0
00370	3121123.0	3188974.0	3188974.0	3188974.0	3188974.0
00380	1328207.0	1324069.0	1324069.0	1324069.0	1324069.0
00390	3326783.0	3232854.0	3232854.0	3232854.0	3232854.0
00400	1748425.0	1764452.0	1764452.0	1764452.0	1764452.0
00410	1916516.0	1941784.0	1941784.0	1941784.0	1941784.0
00420	2916413.0	2937878.0	2937878.0	2937878.0	2937878.0
00430	4957121.0	4772714.0	4772714.0	4772714.0	4772714.0
00440	953168.0	950305.0	950305.0	950305.0	950305.0
00500	582004.0	584540.0	584540.0	584540.0	584540.0
00510	1107829.0	1066747.0	1066747.0	1066747.0	1066747.0
00520	1331866.0	1302377.0	1302377.0	1302377.0	1302377.0
00530	1759889.0	1702325.0	1702325.0	1588140.0	1588140.0
00540	1026027.0	895068.0	895068.0	683207.0	683207.0
00550	953715.0	962817.0	962817.0	962817.0	962817.0
00560	8327388.0	5995698.0	5995698.0	3884319.0	3884319.0
00570	509537547.0	5189267.0	5189267.0	1796540.0	1796540.0
00580	2575597.0	2033188.0	2033188.0	1292602.0	1292602.0
