Postal code	Tax
00100	18.0
00120	18.0
00130	18.0
00140	18.0
00150	18.0
00160	18.0
00170	18.0
00180	18.0
00190	18.0
00200	18.0
00210	18.0
00220	18.0
00230	18.0
00240	18.0
00250	18.0
00260	18.0
00270	18.0
00280	18.0
00290	18.0
00300	18.0
00310	18.0
00320	18.0
00330	18.0
00340	18.0
00350	18.0
00360	18.0
00370	18.0
00380	18.0
00390	18.0
00400	18.0
00410	18.0
00420	18.0
00430	18.0
00440	18.0
00500	18.0
00510	18.0
00520	18.0
00530	18.0
00540	18.0
00550	18.0
00560	18.0
00570	18.0
00580	18.0
00590	18.0
00600	18.0
00610	18.0
00620	18.0
00630	18.0
00640	18.0
00650	18.0
00660	18.0
00670	18.0
00680	18.0
00690	18.0
00700	18.0
00710	18.0
00720	18.0
00730	18.0
00740	18.0
00750	18.0
00760	18.0
00770	18.0
00780	18.0
00790	18.0
00800	18.0
00810	18.0
00820	18.0
00830	18.0
00840	18.0
00850	18.0
00860	18.0
00870	18.0
00880	18.0
00890	18.0
00900	18.0
00910	18.0
00920	18.0
00930	18.0
00940	18.0
00950	18.0
00960	18.0
00970	18.0
00980	18.0
00990	18.0
01120	19.25
01150	19.25
01180	19.75
01190	19.25
01200	19.0
01230	19.0
01260	19.0
01280	19.0
01300	19.0
01340	19.0
01350	19.0
01360	19.0
01370	19.0
01380	19.0
01390	19.0
01400	19.0
01420	19.0
01450	19.0
01480	19.0
01490	19.25
01510	19.0
01520	19.0
01530	19.0
01600	19.0
01610	19.0
01620	19.0
01630	19.0
01640	19.0
01650	19.0
01660	19.0
01670	19.0
01680	19.0
01690	19.0
01700	19.0
01710	19.0
01720	19.0
01730	19.0
01740	19.0
01750	19.0
01760	19.0
01770	19.0
01800	19.5
01810	19.5
01820	19.5
01830	19.5
01840	19.5
01860	19.5
01900	19.5
01940	19.5
02100	18.0
02110	18.0
02120	18.0
02130	18.0
02140	18.0
02150	18.0
02160	18.0
02170	18.0
02180	18.0
02200	18.0
02210	18.0
02230	18.0
02240	18.0
02250	18.0
02260	18.0
02270	18.0
02280	18.0
02290	18.0
02300	18.0
02320	18.0
02330	18.0
02340	18.0
02360	18.0
02380	18.0
02390	19.75
02400	19.75
02410	19.75
02420	19.75
02430	19.75
02440	19.75
02450	19.75
02460	19.75
02470	19.75
02480	19.75
02490	21.5
02510	19.75
02520	19.75
02540	19.75
02550	19.75
02570	21.5
02580	21.5
02590	21.5
02600	18.0
02610	18.0
02620	18.0
02630	18.0
02650	18.0
02660	18.0
02680	18.0
02700	17.0
02710	18.0
02720	18.0
02730	18.0
02740	18.0
02750	18.0
02760	18.0
02770	18.0
02780	18.0
02810	18.0
02820	18.0
02860	18.0
02880	19.75
02920	18.0
02940	18.0
02970	18.0
02980	18.0
03100	20.5
03150	20.5
03220	20.5
03250	20.5
03300	20.5
03320	20.5
03400	20.5
03430	20.5
03600	20.75
03620	20.75
03710	20.75
03790	20.5
03810	20.5
03850	20.5
03870	20.5
04130	19.25
04150	19.25
04170	19.25
04200	19.25
04220	19.25
04230	19.25
04240	19.25
04250	19.25
04260	19.25
04300	19.5
04310	19.5
04320	19.5
04330	19.5
04340	19.5
04350	19.5
04360	19.5
04370	19.5
04380	19.5
04390	19.5
04400	19.75
04410	19.75
04420	19.75
04430	19.75
04440	19.75
04460	19.5
04480	20.5
04500	19.5
04530	20.5
04600	20.5
04620	20.5
04630	20.5
04660	20.5
04680	20.5
04740	20.5
04770	20.5
04820	20.5
04840	20.5
04920	20.5
04940	20.5
05100	19.5
05200	19.5
05250	19.5
05400	19.5
05430	19.5
05440	19.75
05450	19.5
05460	19.75
05470	19.75
05510	19.75
05620	19.75
05720	19.75
05800	19.75
05810	19.75
05820	19.75
05830	19.75
05840	19.75
05850	19.75
05860	19.75
05880	19.75
05900	19.75
05950	19.75
06100	19.75
06150	19.75
06200	19.75
06400	19.75
06450	19.75
06500	19.75
06530	19.75
06650	19.75
06750	19.75
06830	19.75
06850	19.75
06880	19.25
06950	19.75
07110	19.75
07130	19.75
07150	20.5
07170	20.5
07190	20.5
