posti_alue,pinta_ala,water_number_with_sea,water_average_with_sea,water_sum_with_sea,water_number_without_sea,water_average_without_sea,water_sum_without_sea
"00100",3243167.13964844,8072,0.25359266600594604,2047,6026,0.00016594756057086,1
"00120",414009.56274414,1041,0.0019212295869356398,2,1039,0.0,0
"00130",523213.578125,1310,0.164885496183206,216,1096,0.0018248175182481801,2
"00140",166027491.421143,415179,0.9912278800228341,411537,3651,0.00246507806080526,9
"00150",6517958.85205078,16287,0.76963222201756,12535,3761,0.00239298059026855,9
"00160",2006294.7355957,4993,0.6743440817144001,3367,1626,0.0,0
"00170",1299094.64599609,3176,0.352959697732997,1121,2056,0.00048638132295719807,1
"00180",2670232.84619141,6654,0.300420799519086,1999,4655,0.0,0
"00190",3896114.46801758,9740,0.772381930184805,7523,2221,0.0018009905447996398,4
"00200",8165909.19360352,20270,0.62067094227923,12581,7690,0.00013003901170351102,1
"00210",19970789.078125,49844,0.907671936441698,45242,4604,0.000434404865334492,2
"00220",751548.59155273,1872,0.12179487179487199,228,1644,0.0,0
"00230",171851.1328125,430,0.0,0,430,0.0,0
"00240",2352593.42431641,5885,0.0,0,5885,0.0,0
"00250",4714896.76147461,11736,0.305811179277437,3589,8147,0.0,0
"00260",905735.83251953,2265,0.223841059602649,507,1758,0.0,0
"00270",864732.14672852,2170,0.0133640552995392,29,2170,0.0133640552995392,29
"00280",787424.60595703,1969,0.0,0,1969,0.0,0
"00290",268739.11059570004,670,0.0,0,670,0.0,0
"00300",851105.44433594,2129,0.0253640206669798,54,2129,0.0253640206669798,54
"00310",657213.02246094,1643,0.0,0,1643,0.0,0
"00320",1942279.82470703,4853,0.0,0,4853,0.0,0
"00330",2895946.40405273,7236,0.349087893864013,2526,4730,0.0042283298097251605,20
"00340",4407752.29003906,10963,0.7053726169844019,7733,3230,0.0,0
"00350",2225474.93286133,5562,0.0382955771305286,213,5562,0.0382955771305286,213
"00360",539397.65087891,1350,0.0,0,1350,0.0,0
"00370",3188973.50585938,7969,0.0,0,7969,0.0,0
"00380",1324069.35839844,3317,0.0,0,3317,0.0,0
"00390",3232854.32910156,8081,0.0,0,8081,0.0,0
"00400",1764451.60864258,4416,0.0,0,4416,0.0,0
"00410",1941784.16088867,4860,0.0,0,4860,0.0,0
"00420",2937877.76000977,7345,0.0,0,7345,0.0,0
"00430",4772713.53588867,11939,0.0,0,11939,0.0,0
"00440",950305.29345703,2377,0.0,0,2377,0.0,0
"00500",584540.15722656,1460,0.0027397260273972603,4,1456,0.0,0
"00510",1066746.95385742,2668,0.0,0,2668,0.0,0
"00520",1302377.06323242,3251,0.0,0,3251,0.0,0
"00530",1702325.16992188,4243,0.148479849163328,630,3614,0.00027670171555063596,1
"00540",895067.81542969,2236,0.18246869409660102,408,1828,0.0,0
"00550",962816.7097168001,2406,0.0,0,2406,0.0,0
"00560",5995697.85107422,14937,0.187855660440517,2806,12142,0.000905946302091912,11
"00570",5189266.60693359,12885,0.5814512999611949,7492,5393,0.0,0
"00580",2033188.10522461,5068,0.342936069455406,1738,3330,0.0,0
"00590",4241113.90136719,10529,0.527210561306867,5551,4978,0.0,0
"00600",949209.48266602,2373,0.0,0,2373,0.0,0
"00610",2173242.35961914,5439,0.0,0,5439,0.0,0
"00620",2244048.52490234,5610,0.0,0,5610,0.0,0
"00630",2513373.6784668,6285,0.0,0,6285,0.0,0
"00640",2259872.85107422,5627,0.0,0,5627,0.0,0
"00650",1631932.18286133,4029,0.0069496152891536395,28,4029,0.0069496152891536395,28
"00660",2559655.13720703,6407,0.0,0,6407,0.0,0
"00670",3040959.44750977,7603,0.0,0,7603,0.0,0
"00680",2257774.68017578,5642,0.00017724211272598402,1,5642,0.00017724211272598402,1
"00690",4620529.02392578,11498,0.0023482344755609698,27,11498,0.0023482344755609698,27
"00700",6479126.1340332,16204,0.0,0,16204,0.0,0
"00710",2823097.14868164,7033,0.000568747333996872,4,7033,0.000568747333996872,4
"00720",2088326.64819336,5139,0.0052539404553415105,27,5139,0.0052539404553415105,27
"00730",3623272.78051758,9069,0.0,0,9069,0.0,0
"00740",3565185.07788086,8916,0.0,0,8916,0.0,0
"00750",3031849.76977539,7581,0.0,0,7581,0.0,0
"00760",3363241.80908203,8418,0.0,0,8418,0.0,0
"00770",3545999.85180664,8866,0.0,0,8866,0.0,0
"00780",2282749.59667969,5607,0.00178348492955235,10,5607,0.00178348492955235,10
"00790",3892881.60864258,9725,0.0100771208226221,98,9627,0.0,0
"00800",3695145.38183594,9214,0.0914912090297374,843,8371,0.0,0
"00810",3953533.08129883,9723,0.26072199938290697,2535,7279,0.0125017172688556,91
"00820",1350984.96289063,3382,0.00768775872264932,26,3357,0.000297885016383676,1
"00830",3104625.92504883,7715,0.39688917692806197,3062,4685,0.00683030949839915,32
"00840",4414002.16772461,10970,0.252962625341841,2775,8195,0.0,0
"00850",22344270.774414103,55751,0.793833294470054,44257,11522,0.00243013365735115,28
"00860",459228649.713379,1148548,0.9837055133960441,1129833,18747,0.00170693977703099,32
"00870",2164928.01416016,5411,0.31084827203844,1682,3729,0.0,0
"00880",1596427.56469727,3992,0.0,0,3992,0.0,0
"00890",30726216.137451198,76640,0.0735386221294363,5636,71051,0.0006614966714050469,47
"00900",1169002.89086914,2921,0.0,0,2921,0.0,0
"00910",1363978.95556641,3410,0.15043988269794697,513,2897,0.0,0
"00920",3573372.57958984,8941,0.0,0,8941,0.0,0
"00930",3054110.40722656,7576,0.24432418162618802,1851,5725,0.0,0
"00940",5733170.07836914,14333,0.0,0,14333,0.0,0
"00950",3153870.38549805,7886,0.0116662439766675,92,7794,0.0,0
"00960",2504021.18359375,6261,0.00415269126337646,26,6235,0.0,0
"00970",3453709.00561523,8646,0.0,0,8646,0.0,0
"00980",36037463.627685495,89506,0.688266708377092,61604,27902,0.0,0
"00990",6736902.56274414,16839,0.5952253696775339,10023,6820,0.0005865102639296191,4
"01120",168758306.437256,418902,0.836281516918038,350320,68768,0.00270474639367148,186
"01150",55767582.59228521,138526,0.11925559100818599,16520,123594,0.0128485201547001,1588
"01180",107664335.146973,266193,0.8289060944502671,220649,45853,0.0067389265696901,309
"01190",32270791.242919896,80559,0.0,0,80559,0.0,0
"01200",19485593.2956543,48737,0.00244167675482693,119,48737,0.00244167675482693,119
"01230",3365938.41894531,8415,0.0,0,8415,0.0,0
"01260",8390810.79980469,21000,0.00671428571428571,141,21000,0.00671428571428571,141
"01280",3500238.14501953,8755,0.0,0,8755,0.0,0
"01300",6007206.94042969,15020,0.0,0,15020,0.0,0
"01340",150156.55175781,372,0.0,0,372,0.0,0
"01350",2811047.5703125,7037,0.0,0,7037,0.0,0
"01360",5844792.76611328,14620,0.0,0,14620,0.0,0
"01370",3261820.12207031,8166,0.0,0,8166,0.0,0
"01380",4424792.78295898,11064,0.0,0,11064,0.0,0
"01390",7098929.96264648,17753,0.0,0,17753,0.0,0
"01400",5626751.39453125,14064,0.0,0,14064,0.0,0
"01420",3908447.83203125,9763,0.0,0,9763,0.0,0
"01450",14409178.463134803,36053,0.0,0,36053,0.0,0
"01480",3036738.47094727,7597,0.0,0,7597,0.0,0
"01490",9835277.49731445,24591,0.0,0,24591,0.0,0
"01510",7660748.03369141,19151,0.0,0,19151,0.0,0
"01520",2019023.67480469,4999,0.0,0,4999,0.0,0
"01530",17197512.043457,43023,0.0,0,43023,0.0,0
"01600",2774549.09570313,6937,0.0,0,6937,0.0,0
"01610",2775025.74633789,6896,0.0159512761020882,110,6896,0.0159512761020882,110
"01620",3185036.69091797,7969,0.0,0,7969,0.0,0
"01630",2645688.8581543,6589,0.000151768098345728,1,6589,0.000151768098345728,1
"01640",3107720.97070313,7772,0.0,0,7772,0.0,0
"01650",2132776.94140625,5337,0.0,0,5337,0.0,0
"01660",1007946.93066406,2519,0.0,0,2519,0.0,0
"01670",2287548.51708984,5658,0.00141392718275009,8,5658,0.00141392718275009,8
"01680",6601075.40576172,16476,0.0,0,16476,0.0,0
"01690",6045928.52636719,15107,0.0236976236181902,358,15107,0.0236976236181902,358
"01700",4932635.48022461,12281,0.0,0,12281,0.0,0
"01710",1234758.86157227,3080,0.0301948051948052,93,3080,0.0301948051948052,93
"01720",4257139.79907227,10642,0.0,0,10642,0.0,0
"01730",14286508.171142599,35667,0.0,0,35667,0.0,0
"01740",8136712.9777832,20309,0.032399428824659,658,20309,0.032399428824659,658
"01750",22469229.332275398,56190,0.0,0,56190,0.0,0
"01760",33787413.3271484,84415,0.0,0,84415,0.0,0
"01770",188347.09790039,469,0.0,0,469,0.0,0
"01800",21758477.451660197,54035,0.0431942259646525,2334,54035,0.0431942259646525,2334
"01810",13559902.029052699,33893,0.0,0,33893,0.0,0
"01820",5611174.45361328,14036,0.0,0,14036,0.0,0
"01830",34731725.357666,86842,0.0,0,86842,0.0,0
"01840",8713285.55541992,21786,0.0,0,21786,0.0,0
"01860",58876393.211425796,147170,0.00917306516273697,1350,147170,0.00917306516273697,1350
"01900",77744850.6203613,194385,0.0,0,194385,0.0,0
"01940",19552692.6015625,48884,0.0,0,48884,0.0,0
"02100",2632273.9675293,6558,0.198841110094541,1304,5361,0.0199589628800597,107
"02110",1000017.20727539,2488,0.110128617363344,274,2488,0.110128617363344,274
"02120",712857.67211914,1778,0.0,0,1778,0.0,0
"02130",2675063.20483398,6624,0.0037741545893719797,25,6599,0.0,0
"02140",2815560.21826172,7000,0.0174285714285714,122,6878,0.0,0
"02150",4180825.44140625,10363,0.45141368329634296,4678,5685,0.0,0
"02160",9349688.85717773,23269,0.7499677682753879,17451,5818,0.0,0
"02170",2619103.47705078,6560,0.234298780487805,1537,5023,0.0,0
"02180",3425132.85791016,8576,0.0,0,8576,0.0,0
"02200",4513457.00341797,11295,0.0,0,11295,0.0,0
"02210",3560883.28613281,8903,0.0,0,8903,0.0,0
"02230",22039498.9121094,54900,0.7082149362477229,38881,16022,0.00018724254150543,3
"02240",1401091.46777344,3503,0.0,0,3503,0.0,0
"02250",2152410.99169922,5386,0.0,0,5386,0.0,0
"02260",2804507.17456055,7016,0.11259977194982901,790,6306,0.012686330478909,80
"02270",3710308.30737305,9191,0.0569034925470569,523,8720,0.00596330275229358,52
"02280",3426102.78979492,8575,0.0,0,8575,0.0,0
"02290",166266.26757813,415,0.0,0,415,0.0,0
"02300",1730780.09277344,4323,0.0,0,4323,0.0,0
"02320",4154926.53686523,10380,0.241233140655106,2504,7876,0.0,0
"02330",6212667.44140625,15542,0.0405996654227255,631,14911,0.0,0
"02340",3258394.77172852,8145,0.0,0,8145,0.0,0
"02360",7775024.4362793,19444,0.326476033737914,6348,13106,0.000763009308713566,10
"02380",102049551.977539,255147,0.897611964867312,229023,26231,0.00407914299874195,107
"02390",15493638.578857401,38756,0.230312725771493,8926,31040,0.0389819587628866,1210
"02400",71190786.6201172,178017,0.10984344191846801,19554,178017,0.10984344191846801,19554
"02410",916657.95214844,2287,0.0,0,2287,0.0,0
"02420",210497963.57543898,526443,0.7575388028713459,398801,132983,0.040163028357007996,5341
"02430",10043903.766113302,25103,0.0689160658088675,1730,24959,0.06354421250851401,1586
"02440",8928651.44311523,22321,0.248151964517719,5539,21439,0.217220952469798,4657
