Postal code	Metro	Train	Ferry	Tram	Bus
90510	0	0	0	0	10
90520	0	0	0	0	19
90530	0	0	0	0	21
90540	0	0	0	0	59
90550	0	0	0	0	12
90560	0	0	0	0	13
90570	0	0	0	0	24
90580	0	0	0	0	14
90590	0	0	0	0	16
90620	0	0	0	0	12
90630	0	0	0	0	58
90650	0	0	0	0	80
90660	0	0	0	0	78
90670	0	0	0	0	19
90800	0	0	0	0	52
90810	0	0	0	0	11
90820	0	0	0	0	22
90830	0	0	0	0	42
90840	0	0	0	0	52
90850	0	0	0	0	30
92150	0	0	0	0	16
92160	0	0	0	0	53
92180	0	0	0	0	0
92210	0	0	0	0	32
92220	0	0	0	0	24
92230	0	0	0	0	12
92240	0	0	0	0	4
92260	0	0	0	0	22
92320	0	0	0	0	46
92330	0	0	0	0	14
92350	0	0	0	0	23
92400	0	1	0	0	22
92430	0	0	0	0	66
92440	0	0	0	0	0
92450	0	0	0	0	0
92470	0	0	0	0	0
92500	0	0	0	0	18
92520	0	0	0	0	0
92530	0	0	0	0	0
92600	0	0	0	0	46
92610	0	0	0	0	0
92620	0	0	0	0	39
92930	0	0	0	0	38
93100	0	0	0	0	102
93140	0	0	0	0	49
93160	0	0	0	0	0
93170	0	0	0	0	6
93180	0	0	0	0	4
93187	0	0	0	0	19
93190	0	0	0	0	8
93195	0	0	0	0	10
93220	0	0	0	0	21
93225	0	0	0	0	22
93240	0	0	0	0	0
93250	0	0	0	0	0
93270	0	0	0	0	30
93277	0	0	0	0	0
93280	0	0	0	0	3
93290	0	0	0	0	0
93350	0	0	0	0	18
93390	0	0	0	0	0
93400	0	0	0	0	164
93420	0	0	0	0	0
93440	0	0	0	0	7
93470	0	0	0	0	6
93540	0	0	0	0	53
93590	0	0	0	0	7
93700	0	0	0	0	149
94100	0	1	0	0	26
94200	0	0	0	0	18
94300	0	0	0	0	0
94400	0	0	0	0	19
94430	0	0	0	0	8
94450	0	0	0	0	16
94460	0	0	0	0	0
94500	0	0	0	0	32
94600	0	0	0	0	13
94700	0	0	0	0	12
94720	0	0	0	0	2
56730	0	0	0	0	14
56800	0	1	0	0	29
57100	0	0	1	0	22
57120	0	0	0	0	0
57130	0	1	0	0	10
57170	0	0	0	0	14
57200	0	1	0	0	33
57210	0	0	0	0	46
57220	0	0	0	0	24
57230	0	0	0	0	38
57310	0	0	0	0	20
57510	0	0	0	0	12
57600	0	0	2	0	33
57710	0	0	0	0	28
57810	0	0	1	0	12
58130	0	0	0	0	13
58140	0	0	1	0	6
58150	0	0	0	0	12
58160	0	0	0	0	2
58170	0	0	0	0	12
58175	0	0	2	0	12
58180	0	0	0	0	0
58200	0	0	0	0	50
58220	0	0	0	0	0
58260	0	0	0	0	10
58300	0	0	0	0	0
58320	0	0	0	0	10
58350	0	0	0	0	16
58360	0	0	0	0	0
58390	0	0	0	0	0
58410	0	0	0	0	17
58420	0	1	0	0	6
58430	0	0	0	0	22
58450	0	2	0	0	16
58500	0	1	0	0	18
58520	0	0	0	0	0
58550	0	0	0	0	14
58570	0	0	0	0	0
58580	0	0	0	0	0
58610	0	0	0	0	27
58620	0	0	3	0	13
58650	0	0	0	0	4
58680	0	0	0	0	0
58690	0	0	0	0	0
58700	0	0	2	0	74
58720	0	0	1	0	0
58770	0	0	0	0	12
58810	0	0	0	0	29
58830	0	0	0	0	30
58850	0	0	0	0	13
58900	0	0	0	0	92
58910	0	0	0	0	22
58920	0	0	0	0	18
58940	0	0	0	0	0
59100	0	1	0	0	18
59130	0	0	0	0	20
59210	0	0	0	0	0
59310	0	0	0	0	22
59320	0	0	0	0	0
59410	0	0	0	0	0
59510	0	0	0	0	0
59520	0	0	0	0	0
59530	0	0	0	0	0
59610	0	0	0	0	0
59710	0	0	0	0	0
59720	0	0	0	0	0
59730	0	0	0	0	0
59800	0	1	0	0	13
59810	0	0	0	0	0
59820	0	0	0	0	0
60100	0	1	0	0	67
60120	0	0	0	0	19
60150	0	0	0	0	8
60200	0	0	0	0	77
60220	0	0	0	0	22
60280	0	0	0	0	3
60320	0	0	0	0	46
60420	0	0	0	0	15
60450	0	0	0	0	27
60510	0	0	0	0	46
60550	0	0	0	0	75
60560	0	0	0	0	13
60640	0	0	0	0	16
60720	0	0	0	0	20
60760	0	0	0	0	17
60800	0	0	0	0	91
61100	0	0	0	0	35
61110	0	0	0	0	13
61120	0	0	0	0	19
61140	0	0	0	0	1
61150	0	0	0	0	12
61160	0	0	0	0	18
61170	0	0	0	0	26
61180	0	0	0	0	8
61220	0	0	0	0	5
61230	0	0	0	0	24
61250	0	0	0	0	15
61270	0	0	0	0	0
61280	0	0	0	0	15
61290	0	0	0	0	0
61300	0	0	0	0	73
61310	0	0	0	0	10
61330	0	0	0	0	49
61340	0	0	0	0	14
61350	0	0	0	0	14
61360	0	0	0	0	34
61370	0	0	0	0	17
61380	0	0	0	0	9
61400	0	0	0	0	43
61410	0	1	0	0	19
61430	0	0	0	0	8
61440	0	0	0	0	18
61450	0	0	0	0	27
61460	0	0	0	0	14
61470	0	0	0	0	14
