"Postitoimipaikka"	"Toimiala2008"	Postinumeroittainen toimipaikkalaskuri
"00100  HELSINKI"	"A  Maatalous, metsätalous ja kalatalous"	15
"00100  HELSINKI"	"01     Kasvinviljely, kotieläin- ja riistatalous"	4
"00100  HELSINKI"	"011    Yksivuotisten kasvien viljely"	1
"00100  HELSINKI"	"0111   Vilja- , palko- ja öljysiemenkasvien viljely (pl. riisi)"	1
"00100  HELSINKI"	"01110  Vilja- , palko- ja öljysiemenkasvien viljely (pl. riisi)"	1
"00100  HELSINKI"	"0112   Riisin viljely"	-
"00100  HELSINKI"	"01120  Riisin viljely"	-
"00100  HELSINKI"	"0113   Vihannesten ja melonien, juuresten ja mukulakasvien viljely"	-
"00100  HELSINKI"	"01131  Vihannesten viljely avomaalla (pl. peruna ja sokerijuurikas)"	-
"00100  HELSINKI"	"01132  Vihannesten viljely kasvihuoneessa"	-
"00100  HELSINKI"	"01133  Perunan viljely"	-
"00100  HELSINKI"	"01134  Sokerijuurikkaan viljely"	-
"00100  HELSINKI"	"0116   Kuitukasvien viljely"	-
"00100  HELSINKI"	"01160  Kuitukasvien viljely"	-
"00100  HELSINKI"	"0119   Muu yksivuotisten ja koristekasvien viljely"	-
"00100  HELSINKI"	"01191  Koristekasvien viljely"	-
"00100  HELSINKI"	"01199  Muiden yksivuotisten kasvien viljely"	-
"00100  HELSINKI"	"012    Monivuotisten kasvien viljely"	1
"00100  HELSINKI"	"0121   Rypäleiden viljely"	-
"00100  HELSINKI"	"01210  Rypäleiden viljely"	-
"00100  HELSINKI"	"0123   Sitrushedelmien viljely"	-
"00100  HELSINKI"	"01230  Sitrushedelmien viljely"	-
"00100  HELSINKI"	"0124   Omenoiden, kirsikoiden ym. kota- ja kivihedelmien viljely"	-
"00100  HELSINKI"	"01240  Omenoiden, kirsikoiden ym. kota- ja kivihedelmien viljely"	-
"00100  HELSINKI"	"0125   Marjojen ym. puissa ja pensaissa kasvavien hedelmien viljely"	-
"00100  HELSINKI"	"01250  Marjojen ym. puissa ja pensaissa kasvavien hedelmien viljely"	-
"00100  HELSINKI"	"0128   Mauste-, aromi-, rohdos- ja lääkekasvien viljely"	1
"00100  HELSINKI"	"01280  Mauste-, aromi-, rohdos- ja lääkekasvien viljely"	1
"00100  HELSINKI"	"0129   Muu monivuotisten kasvien viljely"	-
"00100  HELSINKI"	"01290  Muu monivuotisten kasvien viljely"	-
