"Postal code area","Free-time residences, 2014 (RA)","Buildings, total, 2014 (RA)","Other buildings, 2014 (RA)","Residential buildings, 2014 (RA)","Dwellings, 2014 (RA)","Average floor area, 2014 (RA)","Dwellings in small houses, 2014 (RA)","Dwellings in blocks of flats, 2014 (RA)"
"Finland",500422,1497534,219835,1277699,2860590,80.3,1549643,1310947
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",0,624,318,306,11524,66.3,2,11522
"00120 Punavuori   (Helsinki )",0,247,101,146,4271,69.3,7,4264
"00130 Kaartinkaupunki   (Helsinki )",0,142,109,33,870,75.5,0,870
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",0,245,75,170,5386,73.5,13,5373
"00150 Eira - Hernesaari   (Helsinki )",2,368,104,264,6715,55.3,31,6684
"00160 Katajanokka   (Helsinki )",0,139,62,77,2621,77.0,3,2618
"00170 Kruununhaka   (Helsinki )",0,257,123,134,4531,68.1,9,4522
"00180 Kamppi - Ruoholahti   (Helsinki )",0,327,144,183,8166,59.2,66,8100
"00190 Suomenlinna   (Helsinki )",0,112,56,56,373,68.9,56,317
"00200 Lauttasaari   (Helsinki )",5,580,49,531,9095,60.1,486,8609
"00210 Vattuniemi   (Helsinki )",0,231,97,134,4233,70.9,41,4192
"00220 Jätkäsaari   (Helsinki )",0,37,17,20,1527,58.2,0,1527
"00230 Ilmala   (Helsinki )",0,2,2,0,0,0.0,0,0
"00240 Länsi-Pasila   (Helsinki )",0,197,84,113,2890,63.2,21,2869
"00250 Taka-Töölö   (Helsinki )",0,410,129,281,7664,53.8,60,7604
"00260 Keski-Töölö   (Helsinki )",0,135,43,92,3621,63.0,0,3621
"00270 Pohjois-Meilahti   (Helsinki )",0,194,27,167,4872,53.0,68,4804
"00280 Ruskeasuo   (Helsinki )",0,134,25,109,1721,54.6,36,1685
"00290 Meilahden sairaala-alue   (Helsinki )",0,32,27,5,113,66.1,0,113
"00300 Pikku Huopalahti   (Helsinki )",0,223,60,163,3101,61.7,61,3040
"00310 Kivihaka   (Helsinki )",0,35,11,24,604,50.9,13,591
"00320 Etelä-Haaga   (Helsinki )",0,395,56,339,6438,49.6,164,6274
"00330 Munkkiniemi   (Helsinki )",0,380,51,329,5206,70.5,225,4981
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1,223,21,202,849,122.7,392,457
"00350 Munkkivuori-Niemenmäki   (Helsinki )",0,265,63,202,5662,54.9,141,5521
"00360 Pajamäki   (Helsinki )",3,37,7,30,1229,49.9,0,1229
"00370 Reimarla   (Helsinki )",0,772,139,633,3484,66.7,886,2598
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",0,171,107,64,2436,59.8,13,2423
"00390 Konala   (Helsinki )",0,727,138,589,3424,63.0,839,2585
"00400 Pohjois-Haaga   (Helsinki )",0,222,29,193,5709,52.6,69,5640
"00410 Malminkartano   (Helsinki )",0,356,72,284,4117,64.1,341,3776
"00420 Kannelmäki   (Helsinki )",0,706,62,644,7923,59.7,900,7023
"00430 Maununneva   (Helsinki )",0,1223,63,1160,2030,90.9,1638,392
"00440 Lassila   (Helsinki )",0,203,42,161,2665,57.2,71,2594
"00500 Sörnäinen   (Helsinki )",0,226,61,165,9707,39.3,0,9707
"00510 Etu-Vallila - Alppila   (Helsinki )",0,361,148,213,6523,40.0,64,6459
"00520 Itä-Pasila   (Helsinki )",0,204,83,121,4046,53.8,8,4038
"00530 Kallio   (Helsinki )",0,342,111,231,13584,45.3,6,13578
"00540 Kalasatama   (Helsinki )",0,57,37,20,952,61.6,17,935
"00550 Vallila   (Helsinki )",6,197,27,170,6401,45.3,14,6387
"00560 Toukola-Vanhakaupunki   (Helsinki )",3,636,131,505,6738,61.2,423,6315
"00570 Kulosaari   (Helsinki )",0,445,75,370,2070,88.9,564,1506
"00580 Verkkosaari   (Helsinki )",0,146,99,47,1412,60.7,11,1401
"00590 Kaitalahti   (Helsinki )",16,148,16,132,152,104.6,152,0
"00600 Koskela-Helsinki   (Helsinki )",0,288,36,252,1847,65.0,248,1599
"00610 Käpylä   (Helsinki )",2,485,71,414,4562,56.0,336,4226
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",0,397,89,308,1502,79.6,517,985
"00630 Maunula-Suursuo   (Helsinki )",0,535,35,500,4723,59.4,611,4112
"00640 Oulunkylä-Patola   (Helsinki )",0,617,75,542,4467,67.2,856,3611
"00650 Veräjämäki   (Helsinki )",0,369,31,338,2056,76.3,558,1498
"00660 Länsi-Pakila   (Helsinki )",0,1416,66,1350,2777,98.0,2561,216
"00670 Paloheinä   (Helsinki )",1,1297,44,1253,2330,100.1,2311,19
"00680 Itä-Pakila   (Helsinki )",1,808,72,736,1521,99.2,1345,176
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",0,626,40,586,1101,92.1,912,189
"00700 Malmi   (Helsinki )",2,1349,286,1063,7277,62.6,1165,6112
"00710 Pihlajamäki   (Helsinki )",0,368,72,296,6960,62.8,411,6549
"00720 Pukinmäki-Savela   (Helsinki )",1,530,70,460,4724,62.0,552,4172
"00730 Tapanila   (Helsinki )",1,1847,115,1732,5320,75.4,2574,2746
"00740 Siltamäki   (Helsinki )",0,1499,105,1394,4575,77.8,2289,2286
"00750 Puistola   (Helsinki )",4,1366,122,1244,4439,72.6,1833,2606
"00760 Suurmetsä   (Helsinki )",1,1646,124,1522,3178,89.2,2543,635
"00770 Jakomäki - Alppikylä   (Helsinki )",0,509,287,222,3627,63.2,226,3401
"00780 Tapaninvainio   (Helsinki )",1,1344,71,1273,3239,82.0,2087,1152
"00790 Viikki   (Helsinki )",0,390,79,311,5017,63.3,466,4551
"00800 Länsi-Herttoniemi   (Helsinki )",0,446,40,406,4387,57.1,460,3927
"00810 Herttoniemi   (Helsinki )",1,279,84,195,6096,62.6,114,5982
"00820 Roihuvuori   (Helsinki )",0,160,52,108,4303,53.7,0,4303
"00830 Tammisalo   (Helsinki )",40,367,30,337,999,111.1,815,184
"00840 Laajasalo   (Helsinki )",5,711,62,649,4336,75.5,1405,2931
"00850 Jollas   (Helsinki )",127,700,45,655,1249,102.7,998,251
"00860 Santahamina   (Helsinki )",1,118,80,38,263,59.0,36,227
"00870 Etelä-Laajasalo   (Helsinki )",11,333,30,303,2515,69.4,416,2099
"00880 Roihupellon teollisuusalue   (Helsinki )",0,212,202,10,353,58.4,3,350
"00890 Itäsalmi   (Helsinki )",48,897,194,703,715,161.3,714,1
"00900 Puotinharju   (Helsinki )",0,164,39,125,2428,59.3,135,2293
"00910 Puotila   (Helsinki )",0,231,38,193,3646,55.6,125,3521
"00920 Myllypuro   (Helsinki )",1,922,59,863,6070,68.7,1281,4789
"00930 Itäkeskus-Marjaniemi   (Helsinki )",19,661,62,599,3382,79.9,909,2473
"00940 Kontula - Vesala   (Helsinki )",1,1243,134,1109,13092,64.6,1439,11653
"00950 Vartioharju   (Helsinki )",3,1438,89,1349,2412,91.7,1938,474
"00960 Pohjois-Vuosaari   (Helsinki )",2,294,19,275,3876,62.9,629,3247
"00970 Mellunmäki   (Helsinki )",0,657,64,593,5758,64.0,855,4903
"00980 Etelä-Vuosaari   (Helsinki )",88,1254,283,971,11138,67.3,1473,9665
"00990 Aurinkolahti   (Helsinki )",10,195,26,169,4255,66.5,194,4061
