"Postal code area","Aged 18 or over, total, 2014 (KO)","Basic level studies, 2014 (KO)","With education, total, 2014 (KO)","Matriculation examination, 2014 (KO)","Vocational diploma, 2014 (KO)","Academic degree - Lower level university degree, 2014 (KO)","Academic degree - Higher level university degree, 2014 (KO)"
"Finland",4396261,1182739,3213522,314271,1996022,467711,435518
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",15587,2051,13536,2797,2853,2642,5244
"00120 Punavuori   (Helsinki )",6031,826,5205,1098,1172,930,2005
"00130 Kaartinkaupunki   (Helsinki )",1294,156,1138,256,224,181,477
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",6712,862,5850,1184,1238,1019,2409
"00150 Eira - Hernesaari   (Helsinki )",8216,1196,7020,1484,1645,1368,2523
"00160 Katajanokka   (Helsinki )",3742,618,3124,550,843,544,1187
"00170 Kruununhaka   (Helsinki )",6234,731,5503,1063,1175,1000,2265
"00180 Kamppi - Ruoholahti   (Helsinki )",11143,2108,9035,1783,2732,1805,2715
"00190 Suomenlinna   (Helsinki )",592,104,488,70,195,58,165
"00200 Lauttasaari   (Helsinki )",12664,1846,10818,1928,2771,2158,3961
"00210 Vattuniemi   (Helsinki )",6172,863,5309,665,1534,1057,2053
"00220 Jätkäsaari   (Helsinki )",2331,297,2034,528,550,452,504
"00230 Ilmala   (Helsinki )",.,.,.,.,.,.,.
"00240 Länsi-Pasila   (Helsinki )",4478,905,3573,631,1448,645,849
"00250 Taka-Töölö   (Helsinki )",9805,1287,8518,1723,2152,1787,2856
"00260 Keski-Töölö   (Helsinki )",4822,777,4045,734,974,842,1495
"00270 Pohjois-Meilahti   (Helsinki )",6471,1049,5422,1040,1581,1101,1700
"00280 Ruskeasuo   (Helsinki )",2568,383,2185,542,583,436,624
"00290 Meilahden sairaala-alue   (Helsinki )",138,17,121,7,46,25,43
"00300 Pikku Huopalahti   (Helsinki )",4642,1027,3615,557,1450,643,965
"00310 Kivihaka   (Helsinki )",777,147,630,118,228,152,132
"00320 Etelä-Haaga   (Helsinki )",8459,1403,7056,1260,2091,1636,2069
"00330 Munkkiniemi   (Helsinki )",7124,1099,6025,938,1650,1072,2365
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1319,190,1129,187,263,146,533
"00350 Munkkivuori-Niemenmäki   (Helsinki )",7788,1387,6401,1225,2149,1274,1753
"00360 Pajamäki   (Helsinki )",1632,347,1285,211,510,240,324
"00370 Reimarla   (Helsinki )",5260,1334,3926,609,1660,723,934
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",3596,890,2706,373,1170,530,633
"00390 Konala   (Helsinki )",5064,1282,3782,541,1867,690,684
"00400 Pohjois-Haaga   (Helsinki )",8223,2266,5957,1029,2372,1155,1401
"00410 Malminkartano   (Helsinki )",6965,2064,4901,960,2455,807,679
"00420 Kannelmäki   (Helsinki )",11738,3674,8064,1368,4086,1355,1255
"00430 Maununneva   (Helsinki )",3736,699,3037,462,1268,495,812
"00440 Lassila   (Helsinki )",3956,1043,2913,457,1263,550,643
"00500 Sörnäinen   (Helsinki )",11863,2238,9625,2199,3141,2184,2101
"00510 Etu-Vallila - Alppila   (Helsinki )",8187,1705,6482,1254,2326,1495,1407
"00520 Itä-Pasila   (Helsinki )",5904,1461,4443,856,1603,928,1056
"00530 Kallio   (Helsinki )",17547,3299,14248,3017,4524,3018,3689
"00540 Kalasatama   (Helsinki )",1356,216,1140,300,327,235,278
"00550 Vallila   (Helsinki )",8563,1797,6766,1650,2251,1411,1454
"00560 Toukola-Vanhakaupunki   (Helsinki )",10315,1495,8820,1817,2600,1878,2525
"00570 Kulosaari   (Helsinki )",3104,507,2597,460,690,433,1014
"00580 Verkkosaari   (Helsinki )",2088,374,1714,315,543,371,485
"00590 Kaitalahti   (Helsinki )",287,44,243,22,82,42,97
"00600 Koskela-Helsinki   (Helsinki )",3477,1243,2234,485,976,326,447
"00610 Käpylä   (Helsinki )",6760,1540,5220,766,1994,1001,1459
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",2663,575,2088,348,774,370,596
"00630 Maunula-Suursuo   (Helsinki )",6793,2265,4528,689,2107,678,1054
"00640 Oulunkylä-Patola   (Helsinki )",6640,1487,5153,827,2056,931,1339
"00650 Veräjämäki   (Helsinki )",3326,788,2538,362,1032,418,726
"00660 Länsi-Pakila   (Helsinki )",5148,874,4274,534,1471,686,1583
"00670 Paloheinä   (Helsinki )",4505,653,3852,538,1335,626,1353
"00680 Itä-Pakila   (Helsinki )",2793,525,2268,306,879,387,696
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",2039,427,1612,217,709,253,433
"00700 Malmi   (Helsinki )",10836,3620,7216,1083,4073,1134,926
"00710 Pihlajamäki   (Helsinki )",10390,3492,6898,991,3786,1069,1052
