"Postal code area","Households, total, 2015 (TR)","Average income of households, 2015 (TR)","Median income of households, 2015 (TR)","Households belonging to the lowest income category, 2015 (TR)","Households belonging to the middle income category, 2015 (TR)","Households belonging to the highest income category, 2015 (TR)","Accumulated purchasing power of households, 2015 (TR)"
"Finland",2634339,38977,31590,667608,1490836,475895,102679313990
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",9969,56874,38139,1739,4081,4149,566979960
"00120 Punavuori   (Helsinki )",3854,60169,40165,656,1516,1682,231889460
"00130 Kaartinkaupunki   (Helsinki )",828,86730,44641,133,288,407,71812585
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",4395,83773,41153,720,1645,2030,368180286
"00150 Eira - Hernesaari   (Helsinki )",5670,56078,33321,1118,2431,2121,317963456
"00160 Katajanokka   (Helsinki )",2282,66094,42674,297,983,1002,150826810
"00170 Kruununhaka   (Helsinki )",4027,64755,40850,634,1604,1789,260768865
"00180 Kamppi - Ruoholahti   (Helsinki )",7302,45630,35387,1205,3648,2449,333188559
"00190 Suomenlinna   (Helsinki )",319,48773,42756,34,183,102,15558468
"00200 Lauttasaari   (Helsinki )",8344,48595,35487,1372,3889,3083,405473313
"00210 Vattuniemi   (Helsinki )",4027,62052,45606,418,1628,1981,249881596
"00220 Jätkäsaari   (Helsinki )",1504,43277,36215,320,733,451,65087987
"00230 Ilmala   (Helsinki )",.,.,.,.,.,.,.
"00240 Länsi-Pasila   (Helsinki )",2730,39701,33291,482,1560,688,108383877
"00250 Taka-Töölö   (Helsinki )",6743,42641,32065,1267,3246,2230,287526631
"00260 Keski-Töölö   (Helsinki )",3090,52731,35981,540,1316,1234,162938423
"00270 Pohjois-Meilahti   (Helsinki )",4455,40026,30425,864,2385,1206,178317136
"00280 Ruskeasuo   (Helsinki )",1616,40234,30736,337,859,420,65017418
"00290 Meilahden sairaala-alue   (Helsinki )",102,53346,34124,12,48,42,5441296
"00300 Pikku Huopalahti   (Helsinki )",2928,40607,34364,497,1679,752,118897714
"00310 Kivihaka   (Helsinki )",552,36178,28282,119,305,128,19970136
"00320 Etelä-Haaga   (Helsinki )",6011,36158,28081,1365,3193,1453,217343723
"00330 Munkkiniemi   (Helsinki )",4610,58740,37692,713,2033,1864,270790746
"00340 Kuusisaari-Lehtisaari   (Helsinki )",707,141082,66627,67,206,434,99745117
"00350 Munkkivuori-Niemenmäki   (Helsinki )",5329,38442,29976,1174,2830,1325,204856803
"00360 Pajamäki   (Helsinki )",1138,34327,28397,257,632,249,39063762
"00370 Reimarla   (Helsinki )",3224,42238,34125,579,1826,819,136173827
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",2307,39903,33068,461,1265,581,92056022
"00390 Konala   (Helsinki )",3248,40332,32785,621,1820,807,130998215
"00400 Pohjois-Haaga   (Helsinki )",5379,33891,28064,1308,3075,996,182301782
"00410 Malminkartano   (Helsinki )",4152,35586,31263,1018,2471,663,147754809
"00420 Kannelmäki   (Helsinki )",7502,33751,27679,1891,4491,1120,253199229
"00430 Maununneva   (Helsinki )",1933,59569,53893,191,930,812,115146143
"00440 Lassila   (Helsinki )",2510,35889,29204,594,1344,572,90080621
"00500 Sörnäinen   (Helsinki )",8927,30047,25010,2520,4786,1621,268231451
"00510 Etu-Vallila - Alppila   (Helsinki )",6175,30801,25432,1639,3392,1144,190198613
"00520 Itä-Pasila   (Helsinki )",3885,36079,30123,888,2087,910,140167084
"00530 Kallio   (Helsinki )",12317,34153,27799,2932,6581,2804,420663843
"00540 Kalasatama   (Helsinki )",1094,45773,38761,198,506,390,50075173
"00550 Vallila   (Helsinki )",5890,30842,26008,1728,3159,1003,181660574
"00560 Toukola-Vanhakaupunki   (Helsinki )",6639,44737,35439,1419,3180,2040,297007847
"00570 Kulosaari   (Helsinki )",1878,78006,41231,326,745,807,146495972
"00580 Verkkosaari   (Helsinki )",1339,42115,37269,259,666,414,56391950
"00590 Kaitalahti   (Helsinki )",138,88753,63975,7,51,80,12247905
"00600 Koskela-Helsinki   (Helsinki )",1986,35580,26287,604,1096,286,70662413
"00610 Käpylä   (Helsinki )",4307,38864,31723,776,2533,998,167385292
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",1521,48698,38524,231,773,517,74070149
"00630 Maunula-Suursuo   (Helsinki )",4647,34082,26232,1211,2691,745,158379850
"00640 Oulunkylä-Patola   (Helsinki )",4229,41551,33056,823,2272,1134,175719791
"00650 Veräjämäki   (Helsinki )",1995,47541,36952,297,1120,578,94843932
"00660 Länsi-Pakila   (Helsinki )",2620,69422,59249,190,1089,1341,181884701
"00670 Paloheinä   (Helsinki )",2235,72609,64030,119,839,1277,162280381
"00680 Itä-Pakila   (Helsinki )",1401,65621,57048,84,661,656,91934788
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",1069,56352,50794,88,582,399,60239984
"00700 Malmi   (Helsinki )",6944,34740,28649,1677,4213,1054,241234688
"00710 Pihlajamäki   (Helsinki )",6702,33967,29043,1502,4229,971,227645824
"00720 Pukinmäki-Savela   (Helsinki )",4538,36221,29929,965,2798,775,164369487
"00730 Tapanila   (Helsinki )",5094,46860,39997,722,2894,1478,238702330
"00740 Siltamäki   (Helsinki )",4420,43435,37921,782,2650,988,191984362
"00750 Puistola   (Helsinki )",4274,40953,34433,910,2454,910,175033480
"00760 Suurmetsä   (Helsinki )",3031,55640,51185,327,1603,1101,168644233
"00770 Jakomäki - Alppikylä   (Helsinki )",3320,31901,27700,882,2156,282,105911800
"00780 Tapaninvainio   (Helsinki )",3173,49633,43792,404,1691,1078,157483929
"00790 Viikki   (Helsinki )",4949,38490,33110,1122,2779,1048,190485793
"00800 Länsi-Herttoniemi   (Helsinki )",4129,35085,26950,1076,2267,786,144865684
"00810 Herttoniemi   (Helsinki )",5860,40458,33256,1054,3319,1487,237086481
"00820 Roihuvuori   (Helsinki )",4098,31239,26434,1157,2385,556,128018945
"00830 Tammisalo   (Helsinki )",917,99210,60950,109,284,524,90975765
"00840 Laajasalo   (Helsinki )",4125,48086,37721,628,2164,1333,198355007
"00850 Jollas   (Helsinki )",1178,82143,59456,119,465,594,96764045
"00860 Santahamina   (Helsinki )",167,50214,48608,7,106,54,8385818
"00870 Etelä-Laajasalo   (Helsinki )",2412,37914,29849,586,1381,445,91447970
"00880 Roihupellon teollisuusalue   (Helsinki )",421,36715,30694,78,254,89,15456886
"00890 Itäsalmi   (Helsinki )",666,113349,73265,45,259,362,75490424
"00900 Puotinharju   (Helsinki )",2329,31758,26048,660,1349,320,73964142
"00910 Puotila   (Helsinki )",3463,32695,26984,854,2055,554,113223169
"00920 Myllypuro   (Helsinki )",5883,38008,31083,1398,3410,1075,223602758
"00930 Itäkeskus-Marjaniemi   (Helsinki )",3262,45070,31049,809,1714,739,147017477
"00940 Kontula - Vesala   (Helsinki )",12776,32774,27681,3633,7768,1375,418718557
"00950 Vartioharju   (Helsinki )",2354,57101,49002,285,1123,946,134414658
"00960 Pohjois-Vuosaari   (Helsinki )",3780,36079,30461,805,2347,628,136379732
"00970 Mellunmäki   (Helsinki )",5552,34753,28948,1342,3402,808,192950934
"00980 Etelä-Vuosaari   (Helsinki )",11008,35883,29954,2680,6629,1699,395005029
"00990 Aurinkolahti   (Helsinki )",4134,45067,37571,583,2224,1327,186305897
"01120 Västerskog   (Sipoo )",546,61147,49403,75,265,206,33386309
"01150 Söderkulla   (Sipoo )",2006,57845,48245,283,992,731,116036533
"01180 Kalkkiranta   (Porvoo )",190,57676,47801,13,103,74,10958486
"01190 Box   (Sipoo )",399,52978,49387,47,220,132,21138157
"01200 Hakunila   (Vantaa )",5789,34964,29360,1447,3626,716,202405453
"01230 Vaarala   (Vantaa )",1304,48003,45305,152,752,400,62596193
"01260 Itä-Hakkila   (Vantaa )",1811,56862,51143,127,1027,657,102976818
"01280 Länsimäki   (Vantaa )",4433,39495,34884,913,2654,866,175081115
"01300 Tikkurila   (Vantaa )",9737,40187,33105,1590,5928,2219,391300898
