"Postal code area","Aged 18 or over, total, 2016 (HR)","Average income of inhabitants, 2016 (HR)","Median income of inhabitants, 2016 (HR)","Inhabintants belonging to the lowest income category, 2016 (HR)","Inhabitants belonging to the middle income category, 2016 (HR)","Inhabintants belonging to the highest income category, 2016 (HR)","Accumulated purchasing power of inhabitants, 2016 (HR)"
"Finland",4431392,23812,20925,886431,2658687,886274,105520349469
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",15935,38985,26642,2856,6668,6411,621218859
"00120 Punavuori   (Helsinki )",6116,39248,27133,1107,2490,2519,240042091
"00130 Kaartinkaupunki   (Helsinki )",1322,49622,28655,263,467,592,65600013
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",6866,48293,28115,1209,2623,3034,331579906
"00150 Eira - Hernesaari   (Helsinki )",8466,37054,25885,1427,3838,3201,313700708
"00160 Katajanokka   (Helsinki )",3742,41182,27267,601,1594,1547,154102037
"00170 Kruununhaka   (Helsinki )",6403,36132,27846,1109,2587,2707,231355965
"00180 Kamppi - Ruoholahti   (Helsinki )",11694,30290,25453,2010,5712,3972,354216727
"00190 Suomenlinna   (Helsinki )",551,28386,25931,88,269,194,15640542
"00200 Lauttasaari   (Helsinki )",12801,32601,26671,1937,5988,4876,417324121
"00210 Vattuniemi   (Helsinki )",6641,40440,30126,786,2723,3132,268561742
"00220 Jätkäsaari   (Helsinki )",3133,26133,22801,720,1519,894,81875187
"00230 Ilmala   (Helsinki )",0,0,0,0,0,0,0
"00240 Länsi-Pasila   (Helsinki )",4449,24612,22599,809,2583,1057,109496764
"00250 Taka-Töölö   (Helsinki )",10083,29663,25197,1629,5019,3435,299094533
"00260 Keski-Töölö   (Helsinki )",4925,34470,25818,824,2243,1858,169764410
"00270 Pohjois-Meilahti   (Helsinki )",6556,27148,24058,1104,3459,1993,177979303
"00280 Ruskeasuo   (Helsinki )",2579,25519,22344,565,1310,704,65812777
"00290 Meilahden sairaala-alue   (Helsinki )",146,35682,28108,19,71,56,5209603
"00300 Pikku Huopalahti   (Helsinki )",4625,26642,24120,748,2603,1274,123221432
"00310 Kivihaka   (Helsinki )",762,25746,23745,112,444,206,19618107
"00320 Etelä-Haaga   (Helsinki )",8972,26303,23842,1436,5016,2520,235989349
"00330 Munkkiniemi   (Helsinki )",7173,37931,27409,1070,3122,2981,272075915
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1365,100488,32171,264,401,700,137165575
"00350 Munkkivuori-Niemenmäki   (Helsinki )",7827,26409,23811,1426,4173,2228,206699466
"00360 Pajamäki   (Helsinki )",1631,24102,22986,288,944,399,39310352
"00370 Reimarla   (Helsinki )",5371,25688,22890,971,2959,1441,137968013
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",3691,25666,23516,600,2112,979,94733100
"00390 Konala   (Helsinki )",5162,25396,23524,896,2895,1371,131092655
"00400 Pohjois-Haaga   (Helsinki )",8319,22421,21185,1693,4919,1707,186523535
"00410 Malminkartano   (Helsinki )",7113,21033,20296,1772,4170,1171,149605846
"00420 Kannelmäki   (Helsinki )",11888,21737,20232,2597,7280,2011,258412635
"00430 Maununneva   (Helsinki )",3881,30321,26959,650,1732,1499,117674821
"00440 Lassila   (Helsinki )",3988,23837,21458,707,2349,932,95063569
"00500 Sörnäinen   (Helsinki )",12062,22874,21226,2327,7338,2397,275907800
"00510 Etu-Vallila - Alppila   (Helsinki )",8659,24037,22230,1492,5223,1944,208132439
"00520 Itä-Pasila   (Helsinki )",6304,23484,21583,1349,3510,1445,148041057
"00530 Kallio   (Helsinki )",17452,25283,22059,3270,10093,4089,441240169
"00540 Kalasatama   (Helsinki )",2040,28265,25330,364,1002,674,57660648
"00550 Vallila   (Helsinki )",8672,21904,20155,1962,5187,1523,189949517
"00560 Toukola-Vanhakaupunki   (Helsinki )",10931,26999,24379,2131,5409,3391,295128216
"00570 Kulosaari   (Helsinki )",3126,42098,27300,600,1229,1297,131597108
"00580 Verkkosaari   (Helsinki )",2245,26424,24472,430,1148,667,59320929
"00590 Kaitalahti   (Helsinki )",611,33122,26873,96,275,240,20237625
"00600 Koskela-Helsinki   (Helsinki )",3481,21901,18418,863,2032,586,76237112
"00610 Käpylä   (Helsinki )",6696,25743,23922,977,3906,1813,172375972
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",2718,29222,25239,420,1403,895,79424618
"00630 Maunula-Suursuo   (Helsinki )",6833,23748,21064,1174,4268,1391,162267289
"00640 Oulunkylä-Patola   (Helsinki )",6711,26497,23507,1127,3713,1871,177822265
"00650 Veräjämäki   (Helsinki )",3302,28143,24733,558,1686,1058,92929328
"00660 Länsi-Pakila   (Helsinki )",5215,35216,29491,738,2081,2396,183649313
"00670 Paloheinä   (Helsinki )",4512,36444,31435,620,1620,2272,164435659
"00680 Itä-Pakila   (Helsinki )",2786,33403,29179,438,1138,1210,93061269
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",2021,30266,26972,302,935,784,61167755
"00700 Malmi   (Helsinki )",10925,22695,21092,2034,6998,1893,247942873
"00710 Pihlajamäki   (Helsinki )",10350,22323,21284,1923,6620,1807,231038783
"00720 Pukinmäki-Savela   (Helsinki )",7110,22734,21474,1366,4437,1307,161636196
"00730 Tapanila   (Helsinki )",8819,27406,25277,1344,4739,2736,241691269
"00740 Siltamäki   (Helsinki )",8057,24432,22601,1567,4542,1948,196849193
"00750 Puistola   (Helsinki )",7543,23957,22464,1481,4346,1716,180706519
"00760 Suurmetsä   (Helsinki )",5853,28636,26486,937,2869,2047,167607191
