"Postialue","Inhabitants, total, 2017","Inhabitants aged 18-64, 2017","Employment rate %, 2017","Unemployment rate %, 2017","Economic dependency ratio, 2017"
"Finland",5513130,3267551,70.5,11.4,137
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki)",18284,13020,78.4,6.4,77
"00120 Punavuori   (Helsinki )",7108,5020,78.2,6.5,78
"00130 Kaartinkaupunki   (Helsinki )",1508,1055,78.5,4.7,80
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",7865,5298,77.5,6.0,89
"00150 Eira - Hernesaari   (Helsinki )",9496,7004,77.9,7.4,72
"00160 Katajanokka   (Helsinki )",4541,2722,75.6,6.5,117
"00170 Kruununhaka   (Helsinki )",7461,5184,79.4,6.2,79
"00180 Kamppi - Ruoholahti   (Helsinki )",13872,9983,76.6,7.8,80
"00190 Suomenlinna   (Helsinki )",743,473,78.2,8.9,100
"00200 Lauttasaari   (Helsinki )",15786,10577,81.1,6.4,82
"00210 Vattuniemi   (Helsinki )",8412,5197,81.9,5.4,96
"00220 Jätkäsaari   (Helsinki )",5884,4660,76.9,5.2,63
"00230 Ilmala   (Helsinki )",0,0,0.0,0.0,0
"00240 Länsi-Pasila   (Helsinki )",5254,3486,73.6,9.8,103
"00250 Taka-Töölö   (Helsinki )",11277,8332,79.4,6.5,69
"00260 Keski-Töölö   (Helsinki )",5478,3615,76.5,6.4,95
"00270 Pohjois-Meilahti   (Helsinki )",7723,5454,76.8,8.8,83
"00280 Ruskeasuo   (Helsinki )",2963,2095,74.8,6.6,88
"00290 Meilahden sairaala-alue   (Helsinki )",143,98,85.7,5.6,64
"00300 Pikku Huopalahti   (Helsinki )",5809,3623,71.7,10.9,121
"00310 Kivihaka   (Helsinki )",890,625,74.4,9.4,85
"00320 Etelä-Haaga   (Helsinki )",10231,7305,78.5,7.6,77
"00330 Munkkiniemi   (Helsinki )",8848,5160,77.8,6.8,117
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1722,1033,74.3,6.1,119
"00350 Munkkivuori-Niemenmäki   (Helsinki )",9309,6300,74.4,8.7,97
"00360 Pajamäki   (Helsinki )",1825,1254,72.5,11.5,100
"00370 Reimarla   (Helsinki )",6702,4156,71.1,10.8,124
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",4515,3145,71.3,12.2,100
"00390 Konala   (Helsinki )",6328,4259,73.1,10.7,101
"00400 Pohjois-Haaga   (Helsinki )",9672,6481,69.8,10.6,112
"00410 Malminkartano   (Helsinki )",8553,5961,68.1,11.4,109
"00420 Kannelmäki   (Helsinki )",13989,9154,66.5,13.0,127
"00430 Maununneva   (Helsinki )",5454,3410,77.2,6.7,105
"00440 Lassila   (Helsinki )",4626,2796,70.9,10.9,131
"00500 Sörnäinen   (Helsinki )",12634,10826,75.2,10.5,55
"00510 Etu-Vallila - Alppila   (Helsinki )",9628,7800,75.9,10.4,62
"00520 Itä-Pasila   (Helsinki )",7306,5246,70.9,10.3,94
"00530 Kallio   (Helsinki )",18612,14418,74.8,9.8,71
"00540 Kalasatama   (Helsinki )",2521,1845,80.1,4.6,69
"00550 Vallila   (Helsinki )",9464,7428,73.8,10.0,72
"00560 Toukola-Vanhakaupunki   (Helsinki )",13438,9325,76.6,6.8,86
"00570 Kulosaari   (Helsinki )",3962,2420,76.4,7.1,111
"00580 Verkkosaari   (Helsinki )",2727,1861,78.0,5.8,86
"00590 Kaitalahti   (Helsinki )",904,630,78.7,7.3,82
"00600 Koskela-Helsinki   (Helsinki )",4147,2484,60.3,13.2,173
"00610 Käpylä   (Helsinki )",8249,5240,75.7,9.9,105
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",3349,2010,76.1,6.5,116
"00630 Maunula-Suursuo   (Helsinki )",8383,5059,68.7,13.8,138
"00640 Oulunkylä-Patola   (Helsinki )",8171,5070,75.9,8.1,110
"00650 Veräjämäki   (Helsinki )",4315,2634,72.1,10.0,124
"00660 Länsi-Pakila   (Helsinki )",6702,3697,79.7,5.9,124
"00670 Paloheinä   (Helsinki )",6025,3420,81.2,5.2,114
"00680 Itä-Pakila   (Helsinki )",3695,2127,78.9,7.3,118
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",2761,1609,77.7,7.0,119
"00700 Malmi   (Helsinki )",13271,8630,66.2,14.4,130
"00710 Pihlajamäki   (Helsinki )",12710,8063,67.6,14.3,131
"00720 Pukinmäki-Savela   (Helsinki )",8574,5410,67.9,12.1,131
"00730 Tapanila   (Helsinki )",11226,7145,77.3,8.9,101
"00740 Siltamäki   (Helsinki )",10347,6306,72.4,8.8,124
"00750 Puistola   (Helsinki )",9629,6161,69.4,12.6,122
"00760 Suurmetsä   (Helsinki )",7672,4595,78.2,6.9,112
"00770 Jakomäki - Alppikylä   (Helsinki )",7289,4631,65.3,16.0,139
"00780 Tapaninvainio   (Helsinki )",7079,4153,75.8,8.6,122
"00790 Viikki   (Helsinki )",11039,7416,72.6,8.0,104
