"Postal code area","Inhabitants, 2014 (PT)","Labour force, 2014 (PT)","Employed, 2014 (PT)","Unemployed, 2014 (PT)","Persons outside the labour force, 2014 (PT)","Children aged 0 to 14, 2014 (PT)","Students, 2014 (PT)","Pensioners, 2014 (PT)","Others, 2014 (PT)"
"Finland",5471753,2636703,2274076,362627,2835050,896608,412686,1348240,177516
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",17522,10476,9701,775,7046,1687,1262,3296,801
"00120 Punavuori   (Helsinki )",6897,4176,3857,319,2721,754,413,1219,335
"00130 Kaartinkaupunki   (Helsinki )",1469,873,818,55,596,148,108,251,89
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",7753,4439,4146,293,3314,887,501,1481,445
"00150 Eira - Hernesaari   (Helsinki )",9221,5811,5295,516,3410,891,540,1468,511
"00160 Katajanokka   (Helsinki )",4461,2297,2093,204,2164,617,272,1076,199
"00170 Kruununhaka   (Helsinki )",7217,4285,3994,291,2932,860,518,1259,295
"00180 Kamppi - Ruoholahti   (Helsinki )",12872,7839,7142,697,5033,1454,913,2031,635
"00190 Suomenlinna   (Helsinki )",783,438,404,34,345,160,59,99,27
"00200 Lauttasaari   (Helsinki )",14908,8642,7926,716,6266,1988,935,2787,556
"00210 Vattuniemi   (Helsinki )",7399,3984,3725,259,3415,1124,315,1742,234
"00220 Jätkäsaari   (Helsinki )",2769,1801,1671,130,968,402,294,192,80
"00230 Ilmala   (Helsinki )",.,.,.,.,.,.,.,.,.
"00240 Länsi-Pasila   (Helsinki )",5150,2798,2517,281,2352,569,430,1166,187
"00250 Taka-Töölö   (Helsinki )",10922,6911,6411,500,4011,963,735,1914,399
"00260 Keski-Töölö   (Helsinki )",5320,2951,2743,208,2369,448,287,1361,273
"00270 Pohjois-Meilahti   (Helsinki )",7584,4565,4122,443,3019,945,574,1251,249
"00280 Ruskeasuo   (Helsinki )",2911,1658,1529,129,1253,295,325,544,89
"00290 Meilahden sairaala-alue   (Helsinki )",152,99,96,3,53,12,4,27,10
"00300 Pikku Huopalahti   (Helsinki )",5797,3009,2623,386,2788,965,444,1155,224
"00310 Kivihaka   (Helsinki )",875,525,478,47,350,91,62,168,29
"00320 Etelä-Haaga   (Helsinki )",9548,5727,5213,514,3821,964,712,1842,303
"00330 Munkkiniemi   (Helsinki )",8507,4152,3840,312,4355,1152,609,2278,316
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1696,779,728,51,917,283,163,371,100
"00350 Munkkivuori-Niemenmäki   (Helsinki )",9226,5072,4615,457,4154,1242,769,1814,329
"00360 Pajamäki   (Helsinki )",1830,1057,940,117,773,172,133,395,73
"00370 Reimarla   (Helsinki )",6501,3413,3051,362,3088,1067,487,1267,267
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",4399,2469,2169,300,1930,666,338,737,189
"00390 Konala   (Helsinki )",6149,3498,3136,362,2651,911,421,1073,246
"00400 Pohjois-Haaga   (Helsinki )",9469,4891,4304,587,4578,1058,809,2250,461
"00410 Malminkartano   (Helsinki )",8537,4704,4091,613,3833,1299,965,1153,416
"00420 Kannelmäki   (Helsinki )",13884,7147,6199,948,6737,1783,1144,3033,777
"00430 Maununneva   (Helsinki )",4866,2497,2317,180,2369,919,456,842,152
"00440 Lassila   (Helsinki )",4537,2221,2000,221,2316,519,327,1308,162
"00500 Sörnäinen   (Helsinki )",12455,8969,7836,1133,3486,525,876,1500,585
"00510 Etu-Vallila - Alppila   (Helsinki )",8738,5905,5206,699,2833,498,573,1368,394
"00520 Itä-Pasila   (Helsinki )",6725,3807,3338,469,2918,718,518,1281,401
"00530 Kallio   (Helsinki )",18523,12028,10674,1354,6495,861,1231,3608,795
"00540 Kalasatama   (Helsinki )",1579,1012,941,71,567,197,171,155,44
"00550 Vallila   (Helsinki )",9357,5895,5188,707,3462,683,963,1481,335
"00560 Toukola-Vanhakaupunki   (Helsinki )",12602,7331,6717,614,5271,2077,1235,1608,351
"00570 Kulosaari   (Helsinki )",3849,1923,1766,157,1926,602,306,832,186
"00580 Verkkosaari   (Helsinki )",2543,1436,1341,95,1107,414,173,408,112
"00590 Kaitalahti   (Helsinki )",378,196,182,14,182,75,33,59,15
"00600 Koskela-Helsinki   (Helsinki )",4139,1710,1479,231,2429,545,415,1274,195
"00610 Käpylä   (Helsinki )",8205,4399,3916,483,3806,1253,521,1769,263
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",3158,1614,1488,126,1544,400,234,831,79
"00630 Maunula-Suursuo   (Helsinki )",8097,3909,3287,622,4188,1115,546,2156,371
"00640 Oulunkylä-Patola   (Helsinki )",7970,4073,3692,381,3897,1104,642,1919,232
"00650 Veräjämäki   (Helsinki )",4253,2252,1974,278,2001,786,347,691,177
"00660 Länsi-Pakila   (Helsinki )",6582,3106,2888,218,3476,1178,491,1630,177
"00670 Paloheinä   (Helsinki )",5979,3033,2852,181,2946,1239,475,1095,137
"00680 Itä-Pakila   (Helsinki )",3725,1836,1676,160,1889,746,301,721,121
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",2766,1434,1315,119,1332,599,228,437,68
"00700 Malmi   (Helsinki )",13250,6883,5811,1072,6367,1997,1106,2665,599
"00710 Pihlajamäki   (Helsinki )",12565,6417,5365,1052,6148,1873,870,2814,591
"00720 Pukinmäki-Savela   (Helsinki )",8420,4357,3780,577,4063,1119,686,1921,337
"00730 Tapanila   (Helsinki )",11353,6241,5611,630,5112,2149,853,1751,359
"00740 Siltamäki   (Helsinki )",10253,5089,4586,503,5164,1815,904,2077,368
