"Postal code area","Inhabitants, 2016 (PT)","Employed, 2016 (PT)","Unemployed, 2016 (PT)","Children aged 0 to 14, 2016 (PT)","Students, 2016 (PT)","Pensioners, 2016 (PT)","Others, 2016 (PT)"
"Finland",5503297,2275679,355837,894178,407905,1389830,179868
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",18035,10032,856,1812,1198,3326,811
"00120 Punavuori   (Helsinki )",7055,3872,336,817,428,1242,360
"00130 Kaartinkaupunki   (Helsinki )",1522,839,61,170,104,258,90
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",7934,4218,325,929,518,1519,425
"00150 Eira - Hernesaari   (Helsinki )",9527,5433,536,942,564,1523,529
"00160 Katajanokka   (Helsinki )",4448,2019,192,602,290,1148,197
"00170 Kruununhaka   (Helsinki )",7427,4099,345,892,507,1297,287
"00180 Kamppi - Ruoholahti   (Helsinki )",13555,7475,768,1618,859,2151,684
"00190 Suomenlinna   (Helsinki )",748,371,44,173,42,89,29
"00200 Lauttasaari   (Helsinki )",15183,8094,714,2130,916,2810,519
"00210 Vattuniemi   (Helsinki )",8044,4005,270,1257,372,1870,270
"00220 Jätkäsaari   (Helsinki )",3713,2225,166,521,427,281,93
"00230 Ilmala   (Helsinki )",0,0,0,0,0,0,0
"00240 Länsi-Pasila   (Helsinki )",5116,2436,297,576,403,1213,191
"00250 Taka-Töölö   (Helsinki )",11314,6658,569,1083,700,1911,393
"00260 Keski-Töölö   (Helsinki )",5471,2762,235,488,305,1391,290
"00270 Pohjois-Meilahti   (Helsinki )",7706,4145,476,983,557,1274,271
"00280 Ruskeasuo   (Helsinki )",2967,1562,135,342,309,531,88
"00290 Meilahden sairaala-alue   (Helsinki )",165,93,10,18,4,30,10
"00300 Pikku Huopalahti   (Helsinki )",5794,2581,383,987,445,1178,220
"00310 Kivihaka   (Helsinki )",870,464,50,94,62,169,31
"00320 Etelä-Haaga   (Helsinki )",10170,5697,501,1065,681,1909,317
"00330 Munkkiniemi   (Helsinki )",8569,3849,322,1172,597,2329,300
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1699,761,57,264,145,379,93
"00350 Munkkivuori-Niemenmäki   (Helsinki )",9316,4672,516,1296,716,1797,319
"00360 Pajamäki   (Helsinki )",1868,956,149,216,108,359,80
"00370 Reimarla   (Helsinki )",6699,2980,376,1153,534,1346,310
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",4455,2166,337,627,358,787,180
"00390 Konala   (Helsinki )",6242,3091,409,923,449,1129,241
"00400 Pohjois-Haaga   (Helsinki )",9610,4395,579,1120,778,2212,526
"00410 Malminkartano   (Helsinki )",8710,4175,637,1341,917,1204,436
"00420 Kannelmäki   (Helsinki )",14029,6017,1026,1782,1210,3177,817
"00430 Maununneva   (Helsinki )",5045,2399,217,948,464,881,136
"00440 Lassila   (Helsinki )",4558,1979,241,503,321,1350,164
"00500 Sörnäinen   (Helsinki )",12688,8048,1135,568,876,1509,552
"00510 Etu-Vallila - Alppila   (Helsinki )",9329,5630,788,623,536,1363,389
"00520 Itä-Pasila   (Helsinki )",7231,3606,499,826,538,1328,434
"00530 Kallio   (Helsinki )",18517,10585,1379,961,1136,3605,851
"00540 Kalasatama   (Helsinki )",2380,1434,69,298,188,331,60
"00550 Vallila   (Helsinki )",9570,5371,730,782,946,1424,317
"00560 Toukola-Vanhakaupunki   (Helsinki )",13432,7158,660,2265,1217,1782,350
"00570 Kulosaari   (Helsinki )",3861,1796,163,614,293,824,171
"00580 Verkkosaari   (Helsinki )",2727,1468,97,441,202,419,100
"00590 Kaitalahti   (Helsinki )",746,386,40,120,48,118,34
"00600 Koskela-Helsinki   (Helsinki )",4132,1486,243,537,395,1266,205
"00610 Käpylä   (Helsinki )",8178,3891,514,1314,484,1741,234
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",3238,1560,139,445,203,807,84
"00630 Maunula-Suursuo   (Helsinki )",8236,3468,578,1213,512,2122,343
"00640 Oulunkylä-Patola   (Helsinki )",8125,3804,372,1199,621,1850,279
"00650 Veräjämäki   (Helsinki )",4252,1896,253,813,329,781,180
"00660 Länsi-Pakila   (Helsinki )",6673,2929,210,1192,501,1659,182
"00670 Paloheinä   (Helsinki )",6074,2821,192,1315,433,1157,156
"00680 Itä-Pakila   (Helsinki )",3698,1695,139,738,271,708,147
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",2749,1248,127,600,220,478,76
"00700 Malmi   (Helsinki )",13369,5764,1096,2040,1085,2748,636
"00710 Pihlajamäki   (Helsinki )",12599,5371,1009,1950,829,2791,649
"00720 Pukinmäki-Savela   (Helsinki )",8520,3711,595,1207,686,1973,348
"00730 Tapanila   (Helsinki )",11301,5543,629,2084,816,1862,367
"00740 Siltamäki   (Helsinki )",10219,4472,540,1802,904,2136,365
"00750 Puistola   (Helsinki )",9559,4321,697,1716,792,1601,432
"00760 Suurmetsä   (Helsinki )",7685,3624,296,1503,604,1398,260
"00770 Jakomäki - Alppikylä   (Helsinki )",6782,2764,564,1199,554,1360,341
"00780 Tapaninvainio   (Helsinki )",7127,3190,372,1097,476,1766,226
"00790 Viikki   (Helsinki )",10874,5285,531,2367,1208,1053,430
"00800 Länsi-Herttoniemi   (Helsinki )",7055,3262,581,979,475,1465,293
"00810 Herttoniemi   (Helsinki )",11519,5680,864,1852,828,1793,502
"00820 Roihuvuori   (Helsinki )",7177,3091,650,1003,535,1514,384
"00830 Tammisalo   (Helsinki )",2247,963,70,420,144,558,92
"00840 Laajasalo   (Helsinki )",8191,3425,417,1238,545,2308,258
"00850 Jollas   (Helsinki )",3138,1430,136,695,246,515,116
"00860 Santahamina   (Helsinki )",409,241,11,121,26,5,5
