"Postal code area","Inhabitants, total, 2015 (HE)","Females, 2015 (HE)","Males, 2015 (HE)","Average age of inhabitants, 2015 (HE)","0-2 years, 2015 (HE)","3-6 years, 2015 (HE)","7-12 years, 2015 (HE)","13-15 years, 2015 (HE)","16-17 years, 2015 (HE)","18-19 years, 2015 (HE)","20-24 years, 2015 (HE)","25-29 years, 2015 (HE)","30-34 years, 2015 (HE)","35-39 years, 2015 (HE)","40-44 years, 2015 (HE)","45-49 years, 2015 (HE)","50-54 years, 2015 (HE)","55-59 years, 2015 (HE)","60-64 years, 2015 (HE)","65-69 years, 2015 (HE)","70-74 years, 2015 (HE)","75-79 years, 2015 (HE)","80-84 years, 2015 (HE)","85 years or over, 2015 (HE)"
"Finland",5487308,2785818,2701490,42,172618,246291,361413,174478,118260,124134,339216,342528,356932,345816,317879,350369,374501,368110,371660,381263,261165,197194,144235,139246
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",17868,9404,8464,40,474,499,638,238,189,229,1633,2583,2026,1514,1066,1011,983,868,834,1032,868,463,325,395
"00120 Punavuori   (Helsinki )",7026,3680,3346,40,193,247,287,106,88,97,524,883,804,638,462,445,401,359,348,382,332,197,118,115
"00130 Kaartinkaupunki   (Helsinki )",1536,804,732,40,37,50,62,28,19,28,126,183,141,134,112,113,90,84,84,101,71,37,23,13
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",7817,4202,3615,41,197,252,344,149,95,112,568,895,840,631,528,459,497,418,430,476,393,230,143,160
"00150 Eira - Hernesaari   (Helsinki )",9299,5010,4289,39,250,298,290,112,81,113,822,1261,1160,930,682,539,519,477,422,460,405,202,147,129
"00160 Katajanokka   (Helsinki )",4470,2395,2075,43,124,179,247,106,65,67,231,318,332,356,295,283,265,272,292,397,306,146,84,105
"00170 Kruununhaka   (Helsinki )",7391,3981,3410,40,217,251,314,134,94,108,537,815,818,632,507,479,457,446,364,421,333,205,125,134
"00180 Kamppi - Ruoholahti   (Helsinki )",13157,6850,6307,39,391,441,535,233,173,217,1070,1670,1574,1205,851,848,842,734,614,681,464,289,180,145
"00190 Suomenlinna   (Helsinki )",792,403,389,36,32,59,81,22,16,21,25,24,44,77,69,68,90,50,35,35,25,7,9,3
"00200 Lauttasaari   (Helsinki )",14921,8142,6779,40,517,643,705,258,172,189,1020,1656,1619,1462,1081,808,751,703,705,831,678,380,305,438
"00210 Vattuniemi   (Helsinki )",7697,4146,3551,42,302,343,431,141,77,69,288,576,751,721,503,474,459,458,434,599,464,253,193,161
"00220 Jätkäsaari   (Helsinki )",2918,1563,1355,32,164,151,98,43,27,47,478,507,374,259,141,105,108,117,102,110,55,26,6,0
"00230 Ilmala   (Helsinki )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"00240 Länsi-Pasila   (Helsinki )",5138,2804,2334,42,170,158,181,98,74,75,493,504,500,357,228,240,337,333,365,413,243,168,107,94
"00250 Taka-Töölö   (Helsinki )",11079,6097,4982,39,289,291,343,124,113,132,1164,1713,1436,960,678,581,548,495,519,515,445,298,208,227
"00260 Keski-Töölö   (Helsinki )",5422,2959,2463,44,134,144,162,58,38,48,459,660,563,413,336,283,304,275,253,380,335,200,158,219
"00270 Pohjois-Meilahti   (Helsinki )",7644,4323,3321,39,229,271,366,160,104,133,649,1002,832,620,453,468,478,425,360,348,293,196,126,131
"00280 Ruskeasuo   (Helsinki )",3000,1705,1295,40,96,91,118,43,36,47,379,400,288,226,181,168,160,153,108,122,118,67,77,122
"00290 Meilahden sairaala-alue   (Helsinki )",161,98,63,41,9,6,2,0,1,2,8,17,24,15,8,7,16,9,7,17,8,2,1,2
"00300 Pikku Huopalahti   (Helsinki )",5857,3232,2625,40,204,272,396,167,148,104,357,505,454,371,362,373,437,406,322,319,240,135,117,168
"00310 Kivihaka   (Helsinki )",896,490,406,41,28,35,26,15,4,15,66,95,113,81,58,43,50,62,49,60,34,22,19,21
"00320 Etelä-Haaga   (Helsinki )",9726,5442,4284,40,296,288,337,130,87,152,971,1453,1108,780,553,491,478,463,454,473,352,271,229,360
"00330 Munkkiniemi   (Helsinki )",8864,5016,3848,44,254,345,486,244,161,183,499,634,696,622,531,545,548,494,440,534,474,385,299,490
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1654,841,813,43,39,75,116,57,54,57,83,52,67,108,110,112,145,135,107,104,74,59,55,45
"00350 Munkkivuori-Niemenmäki   (Helsinki )",9315,5102,4213,40,293,371,466,210,128,168,837,945,796,797,574,600,617,519,463,474,363,231,208,255
"00360 Pajamäki   (Helsinki )",1875,1003,872,41,85,55,57,18,14,36,162,207,208,160,98,100,109,117,116,93,81,45,49,65
"00370 Reimarla   (Helsinki )",6672,3509,3163,39,271,321,415,178,131,118,554,606,563,519,394,379,408,338,349,375,247,214,144,148
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",4356,2234,2122,39,167,191,220,111,79,105,254,399,419,357,280,333,313,302,267,232,131,107,61,28
"00390 Konala   (Helsinki )",6214,3163,3051,39,221,273,324,153,121,124,432,545,587,458,400,421,434,439,386,349,220,150,100,77
"00400 Pohjois-Haaga   (Helsinki )",9450,5145,4305,42,283,327,371,137,132,171,857,1079,933,781,526,479,497,507,458,550,395,305,279,383
"00410 Malminkartano   (Helsinki )",8693,4548,4145,36,341,385,474,238,183,224,968,932,759,617,488,523,560,572,551,446,222,125,52,33
"00420 Kannelmäki   (Helsinki )",13869,7437,6432,41,409,491,660,327,250,310,1234,1247,1141,989,767,813,883,840,878,936,658,423,306,307
"00430 Maununneva   (Helsinki )",4884,2493,2391,39,158,268,370,193,142,141,260,219,265,329,332,382,376,354,358,371,184,88,53,41
"00440 Lassila   (Helsinki )",4513,2503,2010,44,160,135,170,71,44,75,352,498,414,274,187,195,225,235,325,358,229,174,146,246
"00500 Sörnäinen   (Helsinki )",12618,6308,6310,37,223,163,144,56,49,135,1532,2560,2270,1307,730,652,627,528,445,434,294,181,140,148
"00510 Etu-Vallila - Alppila   (Helsinki )",8978,4626,4352,39,222,165,137,36,27,120,860,1571,1426,1062,546,467,468,419,406,391,247,187,114,107
"00520 Itä-Pasila   (Helsinki )",6973,3584,3389,39,239,246,223,73,74,129,614,922,946,643,383,346,320,370,373,399,283,171,123,96
"00530 Kallio   (Helsinki )",18663,9774,8889,41,374,253,264,93,77,203,1813,3136,2769,1828,1055,1003,1008,857,923,1061,745,468,379,354
"00540 Kalasatama   (Helsinki )",2132,1117,1015,36,103,82,61,23,31,31,289,282,251,205,114,93,121,91,114,118,61,28,17,17
"00550 Vallila   (Helsinki )",9368,4978,4390,38,233,226,221,79,81,128,1245,1447,1316,951,498,485,489,424,403,388,277,176,144,157
"00560 Toukola-Vanhakaupunki   (Helsinki )",13187,7124,6063,36,589,699,723,255,138,168,1330,1549,1512,1250,851,708,700,623,668,619,383,209,128,85
"00570 Kulosaari   (Helsinki )",3824,2048,1776,41,110,150,256,111,96,83,227,270,297,314,253,239,259,198,181,204,198,134,112,132
"00580 Verkkosaari   (Helsinki )",2721,1412,1309,37,121,136,152,34,30,29,300,300,295,257,181,155,150,122,111,106,69,52,61,60
"00590 Kaitalahti   (Helsinki )",380,191,189,41,14,22,35,9,8,14,14,10,14,22,25,33,36,39,24,20,17,10,9,5
"00600 Koskela-Helsinki   (Helsinki )",4120,2203,1917,44,118,161,192,99,86,85,338,307,294,255,218,213,260,248,254,267,225,180,133,187
"00610 Käpylä   (Helsinki )",8201,4592,3609,41,359,387,430,158,133,135,367,615,825,810,537,506,519,467,471,465,297,222,190,308
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",3226,1731,1495,44,91,111,174,76,53,57,210,259,246,234,171,209,225,199,157,195,137,137,114,171
"00630 Maunula-Suursuo   (Helsinki )",8299,4419,3880,43,268,356,454,179,128,134,487,652,589,567,498,527,535,564,552,513,415,319,256,306
"00640 Oulunkylä-Patola   (Helsinki )",8049,4339,3710,42,253,303,477,194,154,155,542,674,617,577,461,489,561,461,502,523,336,283,244,243
"00650 Veräjämäki   (Helsinki )",4345,2266,2079,39,174,243,310,131,91,90,229,304,341,349,302,299,327,289,242,208,161,97,79,79
"00660 Länsi-Pakila   (Helsinki )",6696,3378,3318,43,202,350,491,273,176,163,274,198,320,416,476,456,509,454,416,448,382,283,194,215
"00670 Paloheinä   (Helsinki )",6015,3073,2942,40,217,339,551,241,160,156,231,141,280,423,432,443,508,479,415,425,271,137,86,80
"00680 Itä-Pakila   (Helsinki )",3640,1816,1824,40,121,195,307,157,118,107,134,116,172,240,258,309,295,270,210,198,160,119,92,62
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",2778,1430,1348,38,112,177,235,130,87,82,122,92,154,212,218,201,208,184,169,202,107,43,32,11
"00700 Malmi   (Helsinki )",13176,7004,6172,40,494,571,700,349,266,309,1021,1190,1025,798,721,848,959,943,864,756,463,369,279,251
"00710 Pihlajamäki   (Helsinki )",12480,6594,5886,41,468,574,667,285,191,197,754,983,1139,919,688,804,907,793,767,796,535,439,316,258
"00720 Pukinmäki-Savela   (Helsinki )",8554,4643,3911,41,303,355,424,173,148,167,608,788,738,568,459,439,539,583,596,557,422,312,189,186
"00730 Tapanila   (Helsinki )",11305,5894,5411,39,371,569,886,409,264,277,566,657,811,863,739,821,949,925,714,608,404,239,120,113
"00740 Siltamäki   (Helsinki )",10201,5268,4933,39,348,510,719,363,239,269,704,658,666,654,623,715,763,636,597,685,446,287,200,119
"00750 Puistola   (Helsinki )",9208,4769,4439,38,367,449,602,285,211,218,650,689,699,704,570,666,671,584,580,504,320,191,117,131
"00760 Suurmetsä   (Helsinki )",7718,3943,3775,39,246,390,680,312,230,206,401,307,426,515,516,616,633,583,497,430,345,197,114,74
"00770 Jakomäki - Alppikylä   (Helsinki )",6638,3454,3184,39,289,333,387,202,154,167,540,577,484,402,335,477,482,394,323,352,284,210,139,107
"00780 Tapaninvainio   (Helsinki )",7032,3626,3406,43,214,318,427,203,146,157,349,353,427,423,368,453,575,586,592,508,331,263,172,167
"00790 Viikki   (Helsinki )",10839,5771,5068,32,522,695,899,361,210,182,1214,1195,1086,981,739,653,554,408,314,332,198,128,90,78
