"Postal code area","Households, total, 2016 (TE)","Average size of households, 2016 (TE)","Occupancy rate, 2016 (TE)","Young single persons, 2016 (TE)","Young couples without children, 2016 (TE)","Households with children, 2016 (TE)","Households with small children, 2016 (TE)","Households with children under school age, 2016 (TE)","Households with school-age children, 2016 (TE)","Households with teenagers, 2016 (TE)","Adult households, 2016 (TE)","Pensioner households, 2016 (TE)","Households living in owner-occupied dwellings, 2016 (TE)","Households living in rented dwellings, 2016 (TE)","Households living in other dwellings, 2016 (TE)"
"Finland",2654657,2.0,40.3,274283,118286,573756,148520,283601,260779,220681,1270475,821259,1701613,895973,57071
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",10042,1.8,38.6,2006,917,1306,415,727,516,363,6447,2336,4667,4982,393
"00120 Punavuori   (Helsinki )",3883,1.8,39.3,675,316,594,195,323,230,152,2435,872,2018,1709,156
"00130 Kaartinkaupunki   (Helsinki )",818,1.9,43.2,132,65,129,30,67,50,38,503,189,422,359,37
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",4427,1.8,41.5,758,370,666,198,344,274,195,2685,1095,2174,2039,214
"00150 Eira - Hernesaari   (Helsinki )",5767,1.6,34.0,1337,529,704,234,431,240,156,3999,1080,2822,2675,270
"00160 Katajanokka   (Helsinki )",2262,2.0,40.4,146,141,421,112,209,179,147,1060,786,1190,979,93
"00170 Kruununhaka   (Helsinki )",4020,1.8,38.3,648,314,657,212,373,241,188,2435,948,2090,1776,154
"00180 Kamppi - Ruoholahti   (Helsinki )",7503,1.8,33.5,1306,642,1181,377,681,420,312,4868,1484,2991,4298,214
"00190 Suomenlinna   (Helsinki )",310,2.4,31.5,8,11,111,27,57,53,33,141,61,11,298,1
"00200 Lauttasaari   (Helsinki )",8401,1.8,33.6,1459,740,1451,487,862,581,348,4942,2041,4679,3428,294
"00210 Vattuniemi   (Helsinki )",4197,1.9,37.2,416,299,872,290,509,334,209,2070,1268,2872,1217,108
"00220 Jätkäsaari   (Helsinki )",1939,1.9,29.5,504,320,372,163,262,103,69,1387,185,449,1470,20
"00230 Ilmala   (Helsinki )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"00240 Länsi-Pasila   (Helsinki )",2714,1.9,33.7,216,234,423,153,252,146,121,1493,804,1155,1515,44
"00250 Taka-Töölö   (Helsinki )",6804,1.6,33.4,1658,666,792,283,474,269,180,4691,1344,3100,3441,263
"00260 Keski-Töölö   (Helsinki )",3115,1.7,38.8,548,231,342,110,194,132,85,1836,944,1506,1490,119
"00270 Pohjois-Meilahti   (Helsinki )",4460,1.7,31.2,943,381,683,191,352,305,212,2902,883,1846,2472,142
"00280 Ruskeasuo   (Helsinki )",1602,1.7,31.5,274,149,252,83,140,95,63,956,397,794,774,34
"00290 Meilahden sairaala-alue   (Helsinki )",102,1.6,39.8,19,6,12,4,7,6,1,69,21,37,65,0
"00300 Pikku Huopalahti   (Helsinki )",2896,2.0,32.0,213,171,636,172,334,270,235,1521,754,971,1879,46
"00310 Kivihaka   (Helsinki )",542,1.6,32.4,98,38,70,25,42,25,19,347,126,305,221,16
"00320 Etelä-Haaga   (Helsinki )",6271,1.6,31.6,1775,513,755,256,448,273,192,4315,1210,2887,3199,185
"00330 Munkkiniemi   (Helsinki )",4624,1.8,39.2,525,222,834,225,420,352,280,2099,1718,2433,2026,165
"00340 Kuusisaari-Lehtisaari   (Helsinki )",715,2.4,51.6,34,24,186,33,80,83,81,290,245,545,129,41
"00350 Munkkivuori-Niemenmäki   (Helsinki )",5320,1.7,31.6,931,330,921,241,470,381,271,3198,1215,2414,2768,138
"00360 Pajamäki   (Helsinki )",1150,1.6,31.0,222,78,155,68,101,51,26,736,259,651,481,18
"00370 Reimarla   (Helsinki )",3239,2.0,32.8,359,200,744,237,416,306,222,1639,868,1356,1830,53
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",2408,1.8,32.6,199,214,454,141,244,173,154,1483,473,643,1747,18
"00390 Konala   (Helsinki )",3239,1.9,33.1,459,168,662,200,360,251,194,1877,715,1715,1421,103
"00400 Pohjois-Haaga   (Helsinki )",5485,1.7,30.5,900,343,799,284,471,300,189,3188,1508,2271,3109,105
"00410 Malminkartano   (Helsinki )",4159,2.1,30.6,335,364,947,294,513,372,322,2485,740,1432,2680,47
"00420 Kannelmäki   (Helsinki )",7588,1.8,32.5,930,452,1290,331,657,534,431,4277,2049,3167,4263,158
"00430 Maununneva   (Helsinki )",2008,2.5,35.8,69,96,684,158,321,293,278,827,514,1397,548,63
"00440 Lassila   (Helsinki )",2517,1.7,33.2,302,195,356,145,222,120,83,1312,849,1374,1092,51
"00500 Sörnäinen   (Helsinki )",8956,1.4,28.3,3019,862,459,206,318,123,69,7500,1000,3214,5504,238
"00510 Etu-Vallila - Alppila   (Helsinki )",6328,1.4,28.7,1848,609,469,206,329,129,64,4953,907,2647,3492,189
"00520 Itä-Pasila   (Helsinki )",3999,1.8,31.1,636,332,570,226,392,180,115,2583,850,1852,2046,101
